# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777712400
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
77.67319,3.36580,8.01657
78.58519,2.16580,8.48657
80.28119,2.03580,7.56657
82.77719,2.73580,7.01657
84.42519,2.94580,6.62657
86.90519,3.38580,5.53657
88.47319,3.09580,5.51657
89.36919,1.52580,4.24657
91.86519,1.56580,3.43657
92.96919,3.42580,2.77657
92.00919,3.97580,2.67657
90.95319,5.10580,3.32657
89.44919,4.08580,4.89657
91.33719,4.28580,10.29657
94.66519,3.37580,9.58657
96.64919,2.89580,9.55657
99.27319,2.66580,10.01657
102.04119,2.62580,10.03657
104.00919,2.24580,9.61657
105.41719,2.04580,9.81657
107.97719,2.24580,9.36657
108.77719,2.17580,9.29657
111.17719,2.40580,9.09657
114.44119,2.87580,9.02657
115.99319,2.85580,8.97657
118.79319,3.66580,8.47657
120.50519,4.34580,7.85657
121.35320,3.36580,6.81657
123.36919,3.38580,6.67657
126.32919,3.87580,6.02657
128.98520,3.64580,4.90657
128.82520,2.82580,4.82657
129.94519,2.71580,3.97657
131.65720,2.85580,3.92657
132.68120,3.16580,3.72657
133.91319,3.31580,3.16657
135.35320,4.16580,2.58657
135.52919,3.69580,2.38657
137.11319,4.73580,1.25657
137.73720,3.86580,0.81657
137.52919,4.16580,0.93657
74.39319,5.31580,8.51657
74.63319,3.37580,9.03657
75.25719,2.32580,9.49657
77.62519,2.72580,8.57657
80.29719,3.21580,7.43657
82.50519,3.36580,6.84657
85.08119,3.05580,6.08657
85.92919,0.63580,4.44657
86.15319,1.54580,3.38657
87.84919,3.47580,2.30657
88.79319,4.11580,2.13657
88.02519,6.30580,2.37657
87.33719,4.59580,4.48657
88.44119,4.55580,9.61657
92.24919,3.33580,9.14657
95.48119,3.57580,8.80657
96.79319,3.49580,9.17657
99.00119,3.20580,9.55657
101.28919,2.89580,9.18657
103.72119,3.03580,8.68657
104.93719,3.14580,9.20657
107.57719,3.55580,8.88657
108.21719,3.43580,8.83657
111.57719,4.16580,8.70657
113.38519,4.15580,8.74657
115.20919,4.39580,8.24657
117.51319,3.78580,8.16657
120.07319,4.11580,6.97657
120.08919,3.67580,6.30657
123.04919,3.10580,5.77657
125.89719,3.43580,4.70657
127.84919,3.90580,3.89657
128.23318,3.90580,3.44657
129.68919,4.28580,2.68657
130.53719,3.77580,2.74657
131.96120,3.67580,2.50657
133.03319,3.49580,2.15657
134.39319,3.70580,1.20657
134.72919,3.45580,0.77657
136.47319,4.27580,-0.52343
136.85719,4.42580,-0.41343
71.16119,9.16580,6.45657
71.11319,5.88580,9.53657
72.28119,2.44580,9.70657
71.41719,2.01580,9.27657
76.55319,3.12580,7.47657
79.89719,4.17580,6.40657
82.32919,4.14580,6.43657
80.24919,1.27580,5.40657
80.39319,1.82580,4.71657
80.74519,2.76580,2.92657
84.02519,4.86580,1.29657
85.35320,8.08580,2.41657
85.49719,8.05580,4.96657
84.87319,5.34580,10.28657
87.72119,3.47580,10.11657
91.62519,2.80580,9.76657
95.44919,3.18580,8.56657
96.23319,2.84580,8.90657
97.83319,2.78580,8.90657
101.04919,3.32580,8.24657
102.88919,3.54580,8.18657
104.71319,3.87580,8.12657
106.29719,4.03580,8.13657
108.08919,4.49580,8.68657
108.98519,4.69580,9.11657
111.20919,4.35580,8.32657
115.04919,4.01580,8.36657
117.20919,4.40580,7.40657
119.01719,3.80580,6.17657
120.66519,3.81580,5.60657
123.80119,3.77580,4.69657
125.52919,3.92580,4.06657
126.79319,4.10580,3.04657
127.27319,3.62580,2.48657
128.69719,3.21580,1.93657
129.38519,2.66580,2.10657
130.31319,2.06580,1.45657
132.36119,2.18580,0.89657
133.38519,2.27580,0.08657
134.66519,2.59580,-1.26343
136.52119,2.86580,-2.85343
73.84919,-2.83420,-2.15343
74.50519,1.38580,1.97657
77.32119,-0.70420,-0.69343
71.92919,1.66580,-0.90343
71.73719,2.96580,7.31657
77.32119,4.07580,6.66657
80.08919,2.44580,3.00657
79.99319,2.59580,3.15657
78.04119,2.54580,3.13657
73.60919,1.44580,4.00657
76.00919,4.56580,2.55657
77.57719,7.17580,3.68657
79.27319,7.46580,7.39657
82.88919,4.76580,10.64657
84.44119,2.34580,9.86657
87.44919,1.26580,9.60657
92.20119,3.14580,8.56657
94.31319,3.76580,8.22657
94.93719,3.49580,8.20657
96.87319,3.76580,7.91657
99.80119,4.55580,7.52657
101.36919,4.90580,7.27657
102.95319,5.11580,7.50657
104.96919,4.72580,7.41657
106.93719,4.70580,8.30657
107.30519,4.26580,8.67657
111.32119,4.41580,8.59657
113.73719,4.25580,7.85657
116.68119,3.60580,6.53657
118.08919,2.94580,5.57657
120.64919,2.18580,4.51657
123.17719,3.42580,3.21657
124.71319,3.80580,3.00657
126.02519,2.05580,2.76657
127.22519,0.24580,2.58657
128.69719,-1.19420,2.41657
128.45718,-3.00420,1.92657
130.31319,-3.54420,0.72657
132.71320,-3.30420,-0.75343
134.26520,-2.50420,-1.82343
135.00119,-2.31420,-2.01343
81.04919,-2.66420,-5.24343
78.45719,-2.47420,-2.16343
77.12919,-1.79420,-1.86343
74.15319,-2.54420,-1.99343
75.40119,-3.52420,-2.08343
81.36919,-1.41420,-2.37343
78.61720,-0.82420,-2.55343
81.24119,1.39580,-2.19343
80.95319,2.79580,0.33657
71.99319,0.72580,4.27657
69.16119,-1.26420,4.11657
73.96119,-1.16420,2.90657
75.00119,-0.22420,8.31657
79.32119,0.49580,8.28657
85.97719,0.73580,7.38657
87.99319,1.78580,7.20657
89.27319,3.15580,8.16657
90.82519,3.50580,7.29657
91.97719,4.06580,7.03657
92.95319,4.50580,7.24657
95.04919,4.97580,7.60657
96.84119,5.71580,7.14657
98.98519,5.91580,6.74657
101.19319,5.50580,7.18657
101.96119,4.68580,8.15657
104.60119,4.37580,8.67657
107.73719,4.55580,8.52657
110.87319,3.19580,7.63657
114.13719,1.95580,6.71657
116.07319,0.13580,5.25657
118.44119,-2.19420,4.50657
121.32119,-2.67420,3.78657
123.14520,-3.46420,3.82657
125.80119,-3.78420,3.87657
127.22519,-4.20420,3.37657
129.33719,-3.82420,2.57657
128.77719,-4.57420,1.89657
129.52919,-5.06420,0.93657
131.40118,-4.93420,-0.01343
134.36119,-3.95420,-1.34343
135.35320,-3.42420,-2.31343
87.49719,-0.30420,-7.64343
83.03319,-1.01420,-6.00343
80.96919,-0.64420,-2.98343
79.06519,-1.67420,-1.28343
80.12119,-1.82420,-1.45343
80.40919,-1.48420,-1.63343
80.56919,-0.74420,-1.87343
81.52919,-1.14420,-0.07343
84.52119,0.57580,-2.52343
84.15319,2.91580,-3.07343
65.06519,-3.58420,2.43657
71.84919,-2.29420,3.27657
82.58519,0.23580,4.77657
73.49719,-2.62420,7.17657
79.83319,-0.53420,6.45657
84.12119,1.80580,4.69657
88.66519,4.34580,5.16657
90.10519,4.23580,5.08657
88.80919,4.94580,5.55657
89.06519,5.38580,6.08657
89.70519,5.36580,6.43657
92.29719,5.83580,6.08657
94.23319,5.96580,5.99657
96.84119,5.57580,6.58657
98.50519,5.16580,7.73657
100.40919,4.06580,8.94657
104.34519,3.15580,9.05657
108.12119,0.80580,7.43657
111.19319,-4.30420,7.66657
115.30519,-4.99420,6.79657
117.20919,-5.54420,5.76657
119.96119,-5.72420,4.89657
123.51319,-5.33420,4.20657
126.88919,-4.62420,3.52657
127.78519,-4.95420,2.98657
131.00119,-4.68420,2.18657
130.76118,-5.09420,1.80657
129.01720,-5.98420,1.59657
131.00119,-5.48420,0.60657
132.02519,-4.71420,-0.24343
134.50519,-3.63420,-1.04343
99.16119,-0.38420,-4.51343
80.58519,-1.78420,-5.16343
83.17719,-1.18420,-7.24343
83.28919,0.29580,-5.19343
80.58519,-1.60420,-1.87343
82.48919,-1.13420,-2.39343
82.93719,0.15580,-1.83343
83.04919,1.74580,-0.77343
81.64119,0.00580,0.48657
83.40119,1.58580,-2.08343
78.95319,1.01580,-3.01343
72.90519,-0.85420,-0.76343
81.89719,1.63580,0.95657
78.82519,0.70580,3.01657
75.20919,-0.48420,3.53657
81.59319,2.36580,3.10657
86.13719,4.52580,2.67657
84.68119,4.39580,2.89657
87.17719,5.90580,4.39657
86.31319,5.84580,5.00657
85.12919,5.60580,6.23657
86.42519,5.23580,6.73657
89.25719,5.60580,6.17657
92.02519,5.35580,6.60657
93.76919,5.39580,8.19657
97.40119,3.21580,8.96657
100.37719,-2.98420,9.49657
105.86519,-5.49420,9.40657
110.05719,-5.92420,8.53657
112.98519,-6.49420,7.36657
116.80919,-6.48420,6.31657
119.12919,-6.82420,5.41657
123.89719,-6.11420,4.66657
127.11319,-5.43420,3.97657
127.88120,-5.67420,3.50657
130.92119,-5.18420,2.68657
131.57719,-5.57420,1.87657
130.72919,-6.35420,0.61657
132.52119,-5.92420,-0.32343
133.99319,-5.24420,-0.75343
135.06519,-4.48420,-1.08343
104.80919,-0.23420,-3.00343
97.65719,-1.28420,-3.88343
95.52919,-0.94420,-4.63343
83.84919,0.84580,-6.44343
87.25719,0.46580,-4.91343
87.16119,-0.12420,-2.80343
84.56919,0.42580,-2.06343
84.80919,3.80580,-2.55343
80.36119,0.39580,1.98657
79.48119,-1.31420,-0.01343
79.57719,-0.58420,-3.13343
78.10519,2.28580,-0.38343
81.88120,3.89580,2.30657
78.37719,2.59580,2.77657
70.69719,-0.97420,3.06657
82.13719,2.56580,3.61657
81.32119,2.46580,2.32657
83.92919,3.96580,1.26657
81.19319,5.42580,1.47657
81.19319,7.25580,3.29657
81.11319,7.12580,6.56657
80.24919,5.43580,7.24657
83.67319,5.17580,6.92657
87.14520,4.75580,7.50657
89.60919,-0.24420,9.23657
94.16919,-4.49420,10.89657
98.20119,-6.22420,10.35657
103.97719,-6.64420,9.55657
107.94519,-7.07420,9.00657
111.99319,-7.26420,8.04657
114.76119,-7.23420,7.46657
118.12119,-7.26420,6.60657
123.32119,-6.47420,5.64657
127.16119,-6.08420,4.57657
127.83319,-6.78420,2.75657
132.20119,-5.50420,1.83657
131.70518,-5.91420,0.99657
131.41719,-6.23420,0.38657
133.41719,-5.74420,-0.24343
135.52919,-4.86420,-0.70343
135.17719,-4.52420,-1.43343
102.40919,0.28580,-3.76343
