# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777669200
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
90.55544,1.01204,5.60318
92.13944,0.97204,5.30318
94.61944,1.27204,5.08318
95.89944,1.32204,4.65318
96.57144,2.01204,4.45318
96.92344,2.40204,3.47318
96.87544,4.06204,2.66318
91.48344,4.92204,1.81318
84.20344,4.94204,1.83318
79.69144,3.86204,3.14318
82.25144,2.76204,2.66318
89.11544,-6.69796,5.69318
92.13944,-3.60796,4.52318
96.39544,-0.35796,3.29318
101.29144,3.18204,1.76318
103.56344,5.75204,1.08318
102.52344,5.71204,1.15318
103.09944,6.10204,0.84318
103.13144,6.18204,1.05318
103.57944,5.24204,1.17318
105.00344,4.80204,5.63318
106.61944,4.23204,6.42318
109.33944,4.67204,5.65318
110.84344,4.70204,4.80318
113.48344,5.49204,3.69318
113.33944,5.29204,3.03318
113.91544,5.16204,2.54318
115.13144,5.86204,2.26318
115.86744,6.60204,2.58318
116.69944,6.89204,2.21318
117.14744,6.70204,2.13318
116.93944,6.15204,1.87318
117.24344,6.00204,1.58318
118.13944,5.94204,1.21318
119.81944,6.26204,1.40318
118.74744,4.90204,1.54318
120.55544,6.03204,2.17318
121.62744,6.40204,2.11318
122.49144,6.05204,1.15318
123.14744,5.88204,0.86318
123.93144,6.19204,0.72318
89.80344,0.80204,6.23318
91.73944,1.26204,5.51318
94.69944,2.26204,5.06318
95.17944,2.88204,3.57318
96.44344,1.96204,3.33318
96.53944,2.98204,2.76318
96.05944,4.09204,2.40318
92.53944,5.87204,0.80318
81.78744,6.20204,-0.23682
78.21944,3.76204,0.64318
79.24344,3.75204,2.37318
88.61944,-6.33796,2.52318
92.81144,-3.19796,2.40318
95.61144,-0.13796,1.81318
98.09144,3.32204,1.96318
101.05144,5.13204,1.70318
101.40344,4.91204,1.45318
101.24344,6.16204,0.91318
102.34744,7.42204,1.79318
100.90744,6.68204,3.38318
102.85944,6.66204,4.98318
104.79544,5.43204,6.75318
105.94744,4.58204,6.01318
109.19544,4.51204,4.75318
111.70744,4.82204,3.70318
113.00344,5.62204,2.77318
113.45144,6.10204,2.33318
113.45144,6.61204,2.09318
115.11544,7.92204,1.69318
114.74744,7.62204,2.09318
115.14744,7.29204,2.24318
115.06744,6.40204,2.21318
116.25144,6.57204,1.64318
116.63544,6.62204,1.82318
116.52344,6.46204,1.41318
117.08344,6.15204,1.51318
118.04344,6.57204,1.80318
117.33944,6.41204,1.84318
117.61144,6.67204,1.72318
119.59544,7.21204,1.81318
120.44344,7.04204,1.66318
90.28344,2.22204,4.68318
90.81144,1.19204,4.80318
93.67544,1.40204,3.31318
95.72344,2.20204,2.28318
96.65144,2.82204,1.38318
98.21944,3.95204,0.89318
96.02744,4.85204,1.51318
90.87544,6.67204,2.51318
81.53144,7.24204,2.28318
75.33944,5.64204,2.78318
80.58744,-3.96796,0.85318
88.81144,-5.15796,1.51318
92.33144,-1.91796,0.89318
93.51544,0.63204,0.92318
96.60344,3.92204,0.38318
98.29944,5.61204,1.50318
98.97144,6.00204,1.91318
98.89144,5.58204,1.37318
98.41144,6.58204,1.95318
98.74744,6.96204,2.19318
97.99544,5.41204,6.24318
101.91544,4.46204,7.60318
104.31544,3.94204,6.11318
105.99544,3.76204,4.68318
108.90744,4.78204,4.07318
110.33144,5.99204,3.50318
111.29144,6.87204,2.89318
111.41944,7.22204,2.47318
112.31544,7.90204,2.10318
113.65944,8.26204,1.42318
113.97944,7.60204,1.78318
114.23544,6.77204,1.75318
114.68344,6.46204,1.59318
115.14744,6.38204,0.77318
114.15544,5.92204,1.15318
114.15544,6.36204,2.05318
114.18744,6.48204,1.55318
114.42744,6.82204,1.26318
115.01944,7.13204,1.41318
115.97944,7.63204,1.26318
117.69144,8.13204,0.95318
91.46744,2.16204,3.57318
91.45144,1.74204,3.39318
91.09944,1.72204,4.13318
92.04344,1.43204,4.11318
94.55544,2.02204,3.44318
95.24344,3.34204,2.43318
89.05144,6.26204,2.30318
78.41144,8.25204,4.11318
73.33944,4.49204,3.74318
74.28344,-0.26796,0.16318
84.63544,-5.80796,-0.69682
86.74744,-3.64796,-1.44682
89.81944,-1.06796,-1.72682
91.80344,1.89204,-1.02682
93.56344,5.34204,0.02318
95.33944,6.60204,0.46318
96.12344,6.02204,0.65318
96.45944,5.33204,0.60318
96.58744,5.06204,1.77318
95.35544,4.34204,2.79318
96.53944,2.84204,5.70318
100.45944,2.82204,6.33318
103.14744,3.20204,5.02318
104.17144,4.12204,4.40318
105.88344,4.97204,4.16318
106.41144,4.81204,3.47318
108.41144,5.53204,2.36318
108.37944,4.55204,1.23318
109.75544,3.88204,0.28318
110.89144,4.45204,0.00318
111.62744,5.57204,0.43318
112.82744,5.76204,0.94318
112.90744,4.96204,0.99318
113.17944,5.02204,0.08318
113.69144,5.52204,-0.61682
113.64344,6.39204,0.14318
112.34744,6.52204,1.14318
111.80344,6.55204,1.39318
112.39544,7.05204,1.77318
113.53144,7.65204,1.90318
114.58744,8.34204,1.59318
93.09944,0.00204,-1.42682
91.30744,1.58204,1.36318
87.17944,0.62204,-1.74682
90.84344,1.08204,2.47318
93.17944,2.91204,3.88318
89.69144,3.95204,0.50318
85.96344,4.12204,-3.79682
78.60344,2.05204,-5.24682
77.03544,0.39204,-3.26682
83.54744,-3.71796,-3.40682
84.53944,-3.94796,-4.26682
86.95544,-1.55796,-3.37682
89.85144,2.10204,-2.11682
90.53944,3.01204,-0.63682
91.25944,5.30204,1.01318
91.96344,6.02204,2.43318
95.27544,3.90204,1.93318
95.70744,1.25204,1.60318
95.41944,0.35204,2.04318
95.22744,0.25204,3.13318
95.88344,0.29204,4.40318
98.17144,1.20204,4.81318
99.97944,1.25204,4.10318
103.22744,1.64204,2.95318
104.76344,2.00204,3.33318
105.40344,1.10204,2.57318
107.01944,-0.44796,1.71318
108.18744,-2.26796,0.32318
109.06744,-3.31796,-0.37682
110.90744,-2.85796,-0.86682
112.13944,-2.37796,-1.29682
112.84344,-1.59796,-1.50682
113.75544,-0.32796,-1.51682
112.58744,0.51204,-1.31682
111.91544,1.94204,-1.13682
112.42744,3.32204,-1.58682
112.77944,4.48204,-1.82682
112.13944,5.45204,-0.85682
111.32344,6.54204,-0.01682
110.69944,7.06204,1.33318
111.43544,7.86204,1.90318
98.69944,-1.65796,-4.82682
96.95544,-1.28796,-5.18682
94.05944,-1.81796,-4.45682
96.89144,-0.37796,-3.54682
97.13144,0.98204,-3.39682
97.21144,1.51204,-3.79682
93.35544,2.16204,-4.07682
88.97144,1.12204,-3.95682
88.05944,2.70204,-3.88682
87.57944,0.58204,-2.17682
90.04344,-0.33796,-5.31682
89.48344,0.79204,-4.76682
90.18744,3.66204,-1.80682
89.13144,4.44204,-0.84682
90.31544,5.08204,-0.85682
89.13144,4.78204,3.58318
92.60344,1.45204,5.26318
95.75544,0.68204,3.25318
96.97144,-0.66796,2.52318
96.68344,-1.48796,2.41318
98.17144,-0.99796,2.88318
98.25144,-0.77796,3.42318
99.73944,0.02204,3.73318
100.53944,-0.81796,4.00318
104.33144,-2.05796,3.18318
105.16344,-3.72796,2.81318
108.28344,-4.12796,1.87318
110.21944,-4.18796,1.03318
110.61944,-4.25796,0.35318
112.44344,-3.30796,-0.46682
111.64344,-3.32796,-0.94682
113.27544,-2.61796,-1.50682
113.97944,-1.68796,-1.86682
113.70744,-0.98796,-2.26682
113.43544,-0.23796,-2.70682
113.17944,0.46204,-3.34682
113.25944,1.58204,-3.75682
113.61144,2.77204,-4.27682
112.49144,3.82204,-3.90682
112.20344,5.03204,-3.34682
109.81944,6.02204,-1.88682
105.29144,-0.07796,-4.33682
103.85144,-0.87796,-3.06682
98.12344,-1.54796,-2.86682
101.99544,-0.21796,-3.98682
103.05144,2.55204,-3.99682
98.05944,1.57204,-3.33682
94.42744,3.48204,-2.17682
90.69944,2.53204,-0.70682
91.16344,3.46204,-0.85682
88.31544,4.95204,-1.79682
91.91544,-0.81796,-4.92682
90.50744,1.59204,-3.24682
90.69944,3.67204,-2.12682
88.17144,2.97204,-0.53682
89.62744,2.78204,1.82318
89.85144,-0.13796,4.09318
90.45944,-0.88796,5.13318
93.93144,-1.32796,4.40318
95.21144,-2.60796,3.27318
97.62744,-1.70796,2.20318
97.51544,-0.68796,2.81318
98.89144,-1.12796,3.59318
101.11544,-2.40796,3.48318
103.25944,-3.63796,3.33318
105.33944,-3.96796,3.25318
107.51544,-4.19796,2.65318
111.69144,-3.86796,1.69318
110.41144,-4.35796,0.90318
112.41144,-3.96796,0.16318
