# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777723200
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
93.86932,8.78138,6.85845
92.31731,7.33138,8.74845
91.48531,6.17138,9.42845
90.62132,5.16138,9.77845
90.44531,4.40138,9.93845
92.98931,4.04138,9.46845
97.10131,4.03138,8.24845
98.62132,3.44138,7.02845
100.18932,2.18138,5.40845
101.74131,3.08138,5.45845
101.74131,3.01138,5.64845
101.83731,4.27138,7.04845
105.05331,5.57138,7.92845
107.06931,7.56138,7.38845
107.37331,7.74138,8.24845
108.71732,4.65138,10.75845
111.58131,4.19138,10.21845
113.32531,3.72138,10.21845
114.98931,3.05138,10.29845
117.14931,2.71138,9.90845
119.18131,2.49138,9.81845
121.99731,2.71138,9.83845
123.83731,2.69138,9.93845
124.81331,2.61138,10.02845
127.75731,2.87138,9.57845
130.60532,3.03138,9.04845
132.87732,3.33138,8.61845
133.11731,3.07138,8.52845
135.59731,3.33138,7.95845
137.32532,2.79138,7.83845
139.05331,3.07138,6.77845
142.38132,3.81138,5.23845
143.19731,2.98138,4.29845
143.86931,2.86138,5.00845
146.15732,2.71138,5.09845
146.95731,3.07138,4.38845
148.30132,3.37138,3.67845
149.99731,3.85138,2.86845
151.06931,4.37138,2.43845
149.96532,3.19138,2.62845
150.31731,2.99138,2.97845
90.86131,10.98138,1.49845
91.59731,10.84138,4.33845
90.15731,9.11138,8.83845
89.02131,6.59138,9.44845
89.78931,5.17138,8.91845
90.90931,4.72138,9.02845
91.61331,4.19138,9.67845
93.18131,1.87138,6.59845
95.64531,2.17138,5.70845
97.77332,3.75138,5.90845
98.87731,3.66138,4.99845
98.62132,5.60138,7.04845
98.57331,6.05138,7.99845
99.03732,6.17138,6.97845
100.87731,5.11138,10.59845
105.98132,4.10138,10.30845
109.10131,4.53138,9.88845
110.54131,4.50138,9.94845
112.39732,4.05138,10.32845
112.58931,3.35138,10.33845
116.31731,3.62138,10.09845
118.92532,3.89138,9.98845
121.50131,3.98138,9.80845
122.49331,3.79138,9.95845
123.74131,3.75138,9.86845
126.34931,4.11138,9.36845
129.14931,4.67138,8.77845
130.63731,4.65138,8.25845
131.11731,3.58138,8.13845
135.29332,3.74138,7.44845
136.89331,3.08138,6.81845
139.14931,3.41138,5.99845
140.78131,3.23138,5.14845
142.25331,3.01138,4.74845
143.64531,3.29138,4.80845
144.84531,3.45138,4.49845
145.51732,3.18138,3.92845
147.42131,3.44138,3.02845
148.84531,3.63138,2.12845
148.49332,2.45138,1.68845
148.89331,2.27138,0.88845
95.75731,-1.14862,-16.08155
91.14931,12.20138,-2.90155
88.97331,12.57138,4.59845
86.10931,9.92138,7.83845
86.98931,7.13138,9.00845
88.25331,5.16138,8.33845
92.17331,6.09138,7.79845
90.06131,3.01138,6.44845
90.50932,2.81138,5.98845
92.14131,3.25138,5.29845
93.50131,3.26138,4.50845
93.10131,6.17138,6.94845
93.61331,7.25138,7.76845
91.91731,6.11138,8.39845
90.82932,3.97138,12.86845
95.38931,2.44138,12.25845
102.86131,3.79138,10.47845
107.61331,4.99138,9.86845
109.86932,5.24138,9.76845
110.94131,4.68138,10.01845
112.50932,4.50138,10.49845
114.79731,4.75138,10.22845
116.98931,4.83138,9.97845
119.96531,5.19138,9.60845
120.57331,4.84138,9.89845
122.34931,4.76138,9.67845
125.02131,5.15138,8.99845
128.10931,5.09138,7.86845
128.20531,3.47138,7.79845
131.42131,3.75138,6.99845
134.07732,2.72138,6.92845
136.18932,2.92138,6.18845
138.68532,3.67138,5.29845
139.51732,3.48138,4.56845
140.90932,3.12138,3.71845
142.22131,2.96138,3.78845
143.06931,2.23138,3.71845
144.86131,2.60138,3.05845
146.34932,2.38138,2.44845
147.88531,1.16138,1.20845
146.70131,-1.04862,1.23845
98.14131,-1.80862,-12.22155
96.18932,1.11138,-14.90155
88.90931,8.56138,-7.08155
84.65331,11.34138,3.39845
81.54931,11.92138,7.38845
80.79731,5.79138,9.62845
85.18131,3.88138,6.07845
84.87731,2.42138,5.44845
87.64531,3.16138,4.47845
87.88531,3.29138,4.14845
88.52531,4.80138,5.08845
88.06131,6.88138,5.58845
89.59731,9.25138,5.85845
90.31731,8.03138,7.40845
89.86932,6.31138,10.90845
86.47731,2.05138,13.21845
92.46131,2.73138,12.46845
100.18932,4.53138,11.22845
103.90131,4.93138,10.27845
108.25331,5.44138,9.35845
109.66132,5.16138,9.25845
