# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777744800
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
111.34063,-0.38376,-8.04460
110.23663,-0.68376,-9.13460
104.84463,0.98624,-7.75460
105.67663,4.56624,-5.76460
103.58063,9.86624,-0.00460
103.22863,9.88624,3.77540
104.74863,9.91624,5.34540
102.62063,9.28624,6.25540
100.07663,11.47624,4.57540
91.08463,11.40624,4.91540
88.15663,10.68624,5.36540
86.95663,9.23624,4.42540
92.98863,2.60624,9.83540
102.71663,4.36624,6.82540
106.97263,6.96624,6.93540
108.68463,7.14624,8.80540
109.53263,7.05624,9.44540
110.92463,6.78624,9.52540
112.73263,6.74624,10.12540
114.25263,6.55624,10.04540
114.79663,4.93624,12.18540
116.76463,4.80624,12.21540
119.00463,5.20624,11.24540
122.79663,4.88624,11.10540
124.92463,4.37624,10.77540
127.34063,4.10624,10.62540
129.11662,3.77624,10.50540
132.44463,3.85624,9.94540
134.65263,3.49624,9.50540
136.23663,3.16624,9.28540
137.59663,3.05624,8.88540
139.18063,2.92624,8.46540
141.30862,2.82624,8.04540
141.96463,2.32624,8.06540
143.59663,2.21624,7.58540
146.20464,2.34624,6.74540
148.76463,2.85624,6.13540
150.86063,3.31624,5.38540
151.83662,3.36624,4.78540
152.58862,3.41624,4.49540
152.50864,3.13624,4.55540
114.38063,-0.50376,-8.55460
112.65263,0.52624,-8.90460
109.51663,-0.58376,-7.19460
108.26863,0.65624,-7.73460
107.42063,2.87624,-8.12460
104.06063,5.33624,-5.43460
103.13263,11.37624,0.92540
100.74863,11.37624,4.73540
91.99663,11.12624,4.27540
89.06863,11.12624,6.31540
85.08463,11.16624,3.90540
84.54063,8.49624,6.03540
91.45263,1.37624,7.79540
98.06063,4.85624,7.83540
105.18063,8.67624,6.86540
106.50863,9.18624,7.34540
107.10063,7.62624,8.97540
109.26063,8.43624,8.94540
109.88463,8.43624,8.90540
112.33263,8.18624,10.46540
112.58863,6.21624,11.63540
113.94863,5.49624,12.21540
114.84463,5.49624,12.38540
118.57263,5.57624,11.86540
120.06063,5.19624,11.79540
121.86863,4.66624,11.82540
125.34063,4.55624,11.05540
128.14062,4.34624,10.50540
131.72462,4.48624,9.94540
133.86862,4.42624,9.63540
135.05263,4.17624,9.33540
136.04463,3.72624,8.78540
138.54063,3.80624,8.21540
140.92462,3.70624,7.95540
141.91663,3.40624,8.04540
142.15663,3.02624,7.90540
145.42062,3.55624,6.59540
147.88463,4.00624,5.44540
149.94862,4.75624,4.54540
150.94063,4.73624,4.02540
150.82863,4.35624,3.75540
117.32463,-1.42376,-9.87460
115.48463,-0.83376,-9.62460
112.04463,0.22624,-8.08460
111.32463,0.93624,-7.81460
109.98063,1.98624,-7.70460
104.66863,3.93624,-7.37460
103.14863,6.62624,-4.47460
100.20463,10.63624,0.70540
91.93263,13.13624,4.04540
85.34063,12.13624,3.01540
82.66863,9.58624,3.39540
82.81263,9.08624,4.05540
85.99663,3.33624,8.26540
93.00463,5.65624,9.24540
99.59663,9.19624,7.78540
103.03663,10.33624,7.69540
104.20463,9.32624,7.63540
105.42063,9.28624,9.45540
106.39663,8.69624,9.45540
108.87663,8.32624,10.67540
110.12463,7.59624,11.31540
110.86063,6.99624,12.04540
111.56463,6.47624,12.25540
113.94863,6.09624,12.48540
116.25263,6.23624,12.31540
117.58063,5.68624,12.22540
119.54863,5.22624,12.23540
122.09263,4.86624,11.78540
125.77263,4.91624,11.07540
129.85263,5.33624,10.05540
132.15663,5.17624,9.38540
133.50063,4.77624,8.90540
135.05263,4.97624,8.21540
136.58862,4.00624,7.04540
139.48463,3.98624,7.47540
141.30862,4.16624,8.22540
140.65263,3.30624,7.36540
145.11662,4.69624,5.84540
147.32463,4.94624,4.52540
149.05263,5.04624,3.89540
149.98062,4.22624,3.42540
122.26863,-0.32376,-7.36460
117.58063,-0.30376,-7.30460
115.90063,-0.03376,-7.79460
113.90063,0.44624,-8.66460
110.39663,1.21624,-9.32460
107.00463,3.89624,-7.54460
104.47663,2.43624,-0.35460
105.32463,3.02624,-0.80460
101.26063,3.32624,-4.58460
93.13263,10.47624,-1.41460
82.82863,11.00624,-1.29460
84.26863,7.26624,0.79540
85.13263,5.81624,4.34540
88.28463,6.77624,7.80540
93.74063,9.18624,7.87540
97.18063,10.65624,7.06540
99.18063,10.05624,7.66540
101.56463,9.17624,8.01540
103.21263,9.34624,9.20540
105.18063,9.16624,10.53540
107.64463,9.04624,11.01540
108.42863,8.38624,11.39540
108.90863,7.47624,11.73540
110.26863,7.05624,12.10540
112.57263,7.14624,12.21540
114.70063,6.79624,12.12540
115.58063,6.04624,12.18540
118.34863,5.93624,11.84540
120.38063,5.61624,11.67540
123.48463,5.70624,10.99540
127.22863,5.95624,10.22540
129.21263,5.42624,9.70540
131.90063,5.04624,9.14540
132.92462,4.05624,8.42540
135.99663,3.72624,7.78540
138.94063,3.95624,7.17540
139.62863,3.92624,6.74540
141.26064,4.32624,6.34540
144.06062,4.62624,5.38540
146.46063,4.27624,4.39540
148.30063,2.69624,4.35540
121.83663,-1.35376,-6.98460
119.00463,-1.22376,-6.32460
118.22063,0.30624,-4.17460
115.99663,0.51624,-4.86460
113.08463,0.83624,-6.36460
111.16463,0.15624,-5.74460
109.88463,2.99624,-6.26460
106.41263,3.52624,-5.97460
101.67663,3.79624,-3.10460
99.50063,4.71624,-2.60460
94.73263,8.31624,-7.19460
90.86063,12.99624,-5.12460
86.74863,11.60624,1.83540
89.14863,9.63624,5.62540
88.57263,9.35624,6.58540
90.78063,9.80624,7.06540
94.31663,10.17624,7.08540
97.03663,11.10624,6.67540
98.70063,11.67624,8.18540
100.87663,11.04624,10.36540
102.46063,9.91624,11.43540
104.34863,8.78624,11.49540
106.63663,8.10624,11.49540
107.24463,7.68624,11.74540
109.08463,7.72624,11.72540
110.76463,7.42624,11.65540
113.05263,7.19624,11.56540
114.25263,6.77624,11.76540
116.26863,6.61624,11.44540
118.82863,6.39624,11.31540
121.99663,6.54624,10.72540
124.09263,5.90624,10.35540
127.06863,4.93624,10.20540
129.19662,4.18624,9.21540
131.72462,3.89624,8.55540
134.74863,4.00624,7.52540
136.90863,3.91624,6.81540
139.06863,3.57624,6.65540
140.41263,2.80624,6.11540
143.83662,0.36624,6.12540
147.00462,0.91624,5.28540
124.39663,-1.33376,-5.58460
123.32463,-0.47376,-6.70460
118.15663,0.44624,-5.56460
113.48463,0.22624,-4.43460
113.90063,0.41624,-4.20460
113.58063,0.48624,-3.83460
108.76463,0.67624,-4.14460
109.43663,2.29624,-4.17460
104.78063,3.31624,-4.21460
100.90863,4.63624,-5.49460
97.45263,8.04624,-5.58460
92.30063,12.29624,-2.91460
88.62063,9.79624,-6.42460
88.62063,13.77624,4.20540
87.78863,10.71624,4.82540
87.77263,9.54624,4.07540
88.30063,9.98624,4.19540
91.32463,11.55624,5.38540
93.54863,12.89624,6.93540
94.23663,11.72624,11.12540
96.84463,10.22624,11.98540
99.40463,9.66624,12.05540
99.13263,8.52624,12.86540
101.45263,8.14624,12.79540
103.72463,7.89624,12.06540
105.32463,7.72624,11.87540
108.15663,7.77624,11.91540
109.66063,7.52624,11.67540
111.77263,6.83624,10.98540
115.34063,6.85624,10.75540
116.76463,6.03624,10.92540
120.15663,5.40624,10.73540
122.50863,4.61624,10.67540
124.58863,4.07624,9.82540
129.24463,4.48624,8.91540
130.31664,3.53624,8.15540
132.78062,2.62624,7.98540
136.26863,1.99624,7.78540
137.70863,-0.67376,7.97540
141.58063,0.21624,7.12540
144.55663,0.10624,6.10540
124.28463,1.20624,-7.18460
120.60463,-0.81376,-4.73460
121.51663,0.53624,-5.18460
119.11663,0.32624,-5.85460
115.24463,0.99624,-4.49460
111.62863,0.72624,-3.93460
112.06063,-0.00376,-3.49460
109.83663,1.20624,-3.04460
104.62063,2.33624,-4.35460
98.50863,2.98624,-6.06460
96.79663,4.09624,-9.66460
87.66063,3.12624,-8.89460
79.10063,7.09624,-0.86460
76.15663,12.01624,7.50540
79.61263,9.86624,6.81540
79.98063,10.97624,3.80540
84.50863,11.56624,2.55540
88.65263,14.35624,3.53540
87.40463,12.81624,5.83540
88.86063,12.84624,10.24540
91.24463,11.28624,12.46540
93.74063,10.59624,12.63540
95.06863,9.44624,12.04540
97.34063,9.18624,12.03540
97.19663,8.32624,12.27540
99.03663,8.33624,12.52540
102.74863,8.04624,11.91540
105.54863,7.85624,11.22540
107.22863,7.32624,11.13540
110.84463,7.09624,11.21540
112.49263,5.95624,11.19540
115.64463,5.34624,11.27540
117.90063,4.69624,11.11540
120.66863,4.23624,10.40540
124.71663,4.01624,9.65540
127.22863,2.67624,9.09540
130.14062,0.75624,9.60540
133.40463,-0.58376,9.35540
135.58063,-0.52376,8.70540
138.95663,-0.84376,8.04540
142.76463,-1.41376,7.20540
124.49263,1.23624,-4.54460
121.35663,0.39624,-4.36460
119.51663,1.99624,-4.58460
117.61263,-0.17376,-3.53460
117.14863,1.38624,-4.35460
111.53263,-0.52376,-3.47460
109.99663,-0.57376,-5.25460
103.51663,-0.78376,-5.72460
107.77263,1.27624,-4.57460
102.84463,0.98624,-3.72460
90.20463,0.35624,-10.02460
92.52463,0.67624,-10.82460
81.64463,0.73624,-10.74460
77.91663,5.69624,-3.74460
77.74063,6.13624,2.48540
73.69263,4.59624,2.77540
77.80463,8.39624,0.22540
83.78863,14.08624,1.29540
80.25263,14.24624,5.67540
82.33263,13.17624,9.60540
84.68463,13.25624,11.83540
86.47663,10.99624,12.36540
88.31663,10.39624,12.77540
88.68463,9.44624,12.72540
91.32463,9.39624,12.28540
94.47663,9.29624,12.32540
94.58863,7.90624,13.02540
95.90063,7.27624,12.48540
101.45263,8.06624,11.38540
105.53263,8.18624,11.79540
106.95663,6.94624,12.24540
110.31663,6.30624,12.14540
112.62063,5.39624,11.97540
116.10863,4.44624,11.70540
119.13263,3.05624,11.21540
122.74863,0.89624,11.31540
127.69263,-0.58376,10.78540
131.90063,-1.25376,9.56540
134.44463,-1.36376,9.04540
137.83662,-1.94376,8.64540
140.50864,-2.73376,8.18540
124.22063,1.63624,-3.52460
121.58063,1.58624,-3.48460
118.84463,1.37624,-3.54460
114.89263,0.83624,-4.30460
113.86863,0.40624,-4.58460
112.14063,-0.91376,-3.27460
111.74063,-0.75376,-4.40460
107.02063,-1.40376,-5.29460
108.09263,1.31624,-5.85460
99.50063,0.50624,-5.94460
93.85263,-0.64376,-7.51460
95.46863,-0.97376,-11.61460
84.74863,-2.11376,-12.54460
81.16463,2.84624,-10.79460
75.54863,9.91624,-1.08460
70.55663,9.96624,3.66540
71.21263,7.65624,2.82540
73.58063,10.08624,-0.79460
73.90063,13.92624,1.38540
76.06063,15.27624,8.24540
77.70863,14.09624,11.44540
77.59663,12.52624,12.85540
80.42863,11.30624,12.38540
81.80463,9.62624,12.33540
82.66863,9.20624,12.12540
88.79663,10.11624,11.59540
90.14063,9.74624,11.57540
88.46063,7.63624,11.87540
94.20463,8.56624,12.29540
98.58863,8.63624,12.19540
101.10063,7.35624,12.55540
103.90063,6.50624,12.80540
107.67663,4.97624,12.29540
113.03663,4.09624,11.65540
115.58063,1.54624,12.40540
119.77263,-0.65376,12.64540
124.28463,-2.24376,11.55540
129.10063,-2.60376,10.46540
133.78864,-2.26376,9.52540
137.45262,-2.91376,8.52540
140.70062,-3.29376,7.95540
124.23663,2.45624,-4.65460
117.64463,2.10624,-3.40460
115.02063,1.57624,-2.26460
116.09263,1.59624,-2.75460
115.11663,1.58624,-2.41460
114.20463,0.79624,-3.17460
111.10063,-0.09376,-3.33460
109.59663,-0.85376,-3.68460
108.98863,0.01624,-5.19460
103.72463,0.10624,-6.04460
102.44463,-0.99376,-5.96460
97.64463,-0.31376,-7.62460
90.71663,-2.76376,-11.76460
87.00463,-0.83376,-14.40460
75.26063,1.54624,-12.25460
67.34063,11.35624,4.56540
68.55663,8.60624,6.29540
73.67663,7.78624,-1.82460
71.51663,11.32624,2.85540
71.10063,13.97624,5.45540
69.70863,14.07624,7.98540
70.38063,13.21624,10.65540
72.73263,11.84624,11.81540
75.53263,10.54624,11.54540
76.20463,9.87624,11.71540
79.38863,9.21624,10.89540
82.78063,9.15624,10.40540
84.22063,8.63624,10.70540
89.08463,8.53624,11.34540
92.09263,7.73624,11.42540
96.62063,7.00624,11.60540
99.86863,5.88624,12.91540
102.30063,3.70624,13.22540
107.51663,1.88624,13.67540
111.94863,-0.33376,13.98540
116.25263,-2.33376,12.97540
121.13263,-3.44376,12.20540
127.35663,-2.84376,11.89540
130.66862,-3.97376,10.60540
136.82863,-3.39376,9.50540
140.71663,-3.39376,8.22540
126.87663,1.42624,-4.37460
121.14863,2.28624,-4.10460
115.05263,2.71624,-3.71460
109.62863,2.09624,-2.90460
108.20463,2.14624,-1.44460
112.46063,0.08624,-1.65460
115.70863,0.81624,-2.59460
113.59663,-0.30376,-2.84460
110.47663,-0.92376,-4.22460
109.00463,-1.95376,-5.99460
106.86063,-1.94376,-6.01460
101.45263,-1.89376,-6.57460
97.30863,-1.38376,-7.44460
92.42863,-0.82376,-10.35460
85.24463,-2.31376,-15.36460
74.92463,-5.49376,-11.98460
73.22863,-2.18376,-3.80460
69.06863,-6.86376,-7.51460
68.47663,-1.45376,-12.78460
62.20463,10.77624,7.79540
62.66863,11.72624,8.54540
64.46063,9.63624,9.11540
66.01263,7.64624,8.57540
67.10063,8.33624,9.19540
67.86863,8.91624,10.16540
70.25263,9.11624,10.08540
74.66863,9.77624,10.10540
77.86863,9.81624,10.41540
81.98063,8.96624,10.81540
85.32463,7.09624,11.19540
88.95663,5.83624,12.52540
94.41263,5.33624,14.18540
97.64463,2.74624,14.62540
103.13263,0.73624,15.14540
106.63663,-2.25376,14.89540
112.95663,-3.52376,13.75540
119.05263,-4.04376,12.83540
124.57263,-4.28376,11.70540
128.60463,-4.58376,11.31540
134.12463,-4.23376,10.51540
139.30862,-4.21376,8.66540
129.64462,1.07624,-4.95460
123.13263,2.06624,-4.10460
118.42863,2.20624,-4.26460
112.84463,3.27624,-3.82460
105.03663,3.06624,-1.13460
106.70063,0.18624,-0.52460
113.74063,-0.88376,-1.20460
117.13263,-0.08376,-2.11460
113.64463,-2.21376,-2.10460
113.21263,-2.20376,-2.98460
110.63663,-2.55376,-5.62460
106.62063,-2.47376,-7.62460
104.66863,-1.65376,-7.52460
101.43663,0.53624,-7.44460
94.90863,-1.78376,-9.73460
88.42863,-3.58376,-12.19460
82.01263,-4.69376,-12.86460
74.18863,-7.13376,-10.94460
71.74063,-6.69376,-13.25460
64.01263,-3.77376,-14.77460
62.70063,4.47624,-8.86460
56.49263,7.75624,11.09540
58.28463,4.26624,8.37540
59.86863,5.11624,6.01540
61.54863,7.36624,7.92540
63.34063,8.96624,9.05540
67.10063,9.10624,7.31540
70.71663,9.69624,8.24540
75.11663,10.46624,10.12540
77.66063,9.10624,11.52540
83.54863,5.99624,13.65540
87.24463,4.54624,15.23540
92.12463,2.61624,15.97540
98.46063,-0.32376,16.14540
103.59663,-3.26376,15.48540
109.45263,-5.16376,14.25540
117.43663,-5.79376,12.50540
124.42863,-5.67376,10.74540
129.40463,-5.73376,9.27540
139.18063,-3.86376,8.14540
139.02063,-4.83376,7.98540
132.36462,1.48624,-4.95460
125.94863,2.42624,-4.39460
120.42863,1.55624,-4.61460
112.12463,4.13624,-3.74460
101.21263,3.72624,-1.89460
103.32463,1.33624,0.17540
109.42063,-0.89376,0.01540
116.30063,-2.58376,-0.80460
118.95663,-1.33376,-2.14460
115.08463,-2.75376,-2.51460
113.18063,-3.55376,-3.66460
112.17263,-2.53376,-6.37460
109.19663,-1.06376,-6.76460
105.46863,-1.21376,-7.87460
101.56463,-0.59376,-7.78460
90.39663,-1.73376,-7.78460
90.78063,-1.03376,-8.27460
80.73263,-5.54376,-12.19460
83.54863,-4.43376,-12.39460
76.44463,-4.77376,-13.82460
72.10863,-2.91376,-15.18460
61.32463,0.61624,-8.00460
53.18063,-3.33376,2.20540
52.26863,0.93624,4.54540
56.62063,-0.38376,5.27540
58.09263,0.75624,4.75540
62.38063,3.82624,5.49540
64.39663,7.42624,5.85540
67.14863,10.02624,8.63540
70.63663,9.13624,10.68540
76.36463,5.83624,14.41540
82.04463,3.97624,15.52540
87.30863,0.63624,16.34540
93.66063,-3.09376,16.02540
100.57263,-6.32376,14.87540
107.56463,-8.00376,13.75540
114.07663,-8.72376,11.37540
122.22063,-7.93376,9.63540
129.59663,-7.16376,8.11540
142.55663,-2.98376,6.90540
142.01263,-4.10376,5.77540
134.07663,2.01624,-5.89460
126.54063,1.64624,-4.14460
123.48463,0.77624,-4.88460
113.46863,2.16624,-3.90460
105.90063,3.22624,-3.82460
98.25263,2.07624,1.15540
104.26863,-0.08376,0.56540
109.11663,-2.90376,0.15540
115.40463,-3.06376,0.28540
120.30063,-2.63376,-1.12460
118.06063,-1.94376,-2.08460
115.94863,-2.98376,-3.41460
113.13263,-1.12376,-6.54460
110.01263,-1.45376,-7.03460
105.24463,-2.16376,-7.52460
97.62863,-2.93376,-7.00460
97.54863,-0.61376,-7.22460
89.00463,-2.34376,-7.55460
92.28463,-1.14376,-10.30460
87.80463,-1.07376,-13.62460
84.97263,-0.58376,-14.09460
70.23663,0.60624,-18.31460
54.92463,-3.08376,2.95540
56.15663,-9.42376,2.11540
60.36463,-8.14376,0.88540
57.02063,-7.19376,-0.12460
60.06063,-2.46376,4.05540
57.08463,1.15624,2.50540
57.50063,8.26624,9.64540
63.54863,8.89624,12.68540
68.50863,6.74624,13.71540
76.94063,2.49624,17.02540
81.64463,-4.22376,16.40540
87.06863,-9.15376,16.62540
97.32463,-9.82376,15.37540
104.50863,-9.82376,13.18540
110.31663,-9.90376,11.87540
120.30063,-8.03376,11.24540
130.28462,-5.82376,10.23540
140.17262,-3.02376,9.24540
140.82863,-3.15376,6.87540
137.51663,1.34624,-4.26460
129.85263,2.03624,-4.46460
125.54863,0.22624,-4.09460
122.15663,1.27624,-4.41460
109.70863,3.92624,-3.51460
94.97263,1.96624,-0.74460
99.19663,0.56624,2.22540
103.03663,-0.49376,-1.63460
110.09263,-1.60376,-1.56460
114.30063,-2.04376,-1.96460
116.66863,-2.30376,-2.17460
116.98863,-2.84376,-2.67460
116.60463,-1.85376,-3.14460
113.40463,-0.74376,-4.02460
108.62063,-2.09376,-7.11460
104.94063,-3.26376,-8.01460
103.77263,-2.64376,-7.24460
99.37263,-1.95376,-6.97460
96.42863,-1.69376,-6.73460
94.78063,-1.69376,-10.06460
79.08463,-3.81376,-14.27460
82.28463,-1.45376,-14.47460
69.69263,-5.15376,-12.03460
59.70863,-10.71376,4.13540
65.19663,-9.69376,2.18540
66.95663,-10.57376,1.62540
62.46063,-12.92376,0.91540
58.36463,-12.31376,0.15540
60.17263,-11.81376,3.69540
64.58863,-15.64376,4.38540
71.26063,-15.91376,1.62540
82.06063,-10.35376,3.38540
82.70063,-11.42376,10.13540
85.53263,-13.13376,13.53540
98.25263,-11.52376,11.17540
104.71663,-10.59376,11.10540
113.14863,-8.57376,10.67540
120.49263,-7.29376,10.50540
123.40463,-6.65376,8.71540
130.02863,-4.99376,8.15540
142.14062,-1.91376,7.06540
141.14864,1.75624,-4.63460
134.54063,1.58624,-4.11460
127.27663,1.50624,-3.89460
126.41263,0.67624,-4.14460
122.62063,0.41624,-3.53460
108.36463,1.51624,-2.75460
100.84463,0.25624,-3.10460
103.66063,3.04624,-4.14460
103.85263,-0.40376,1.41540
108.06063,-1.20376,-1.49460
109.00463,-1.28376,-2.87460
112.04463,-1.85376,-1.91460
115.53263,-1.84376,-1.28460
113.74063,-0.76376,-2.35460
111.74063,-1.13376,-3.71460
109.02063,-1.63376,-6.02460
105.40463,-1.96376,-7.67460
101.70863,-2.79376,-8.59460
95.78863,-1.98376,-7.87460
93.54863,-2.96376,-9.07460
89.59663,-3.91376,-10.96460
88.06063,-2.48376,-14.34460
82.34863,-2.39376,-13.06460
71.93263,-4.60376,-11.73460
67.75663,-9.50376,3.57540
73.40463,-9.36376,4.15540
70.87663,-11.10376,4.15540
70.52463,-13.90376,4.85540
72.06063,-13.85376,3.07540
73.85263,-14.96376,4.23540
80.09263,-14.78376,6.65540
91.43663,-12.34376,7.62540
98.20463,-10.77376,7.38540
105.54863,-8.99376,8.39540
96.74863,-12.52376,10.63540
108.44463,-9.56376,8.84540
113.24463,-7.61376,7.75540
122.70063,-5.74376,7.93540
129.30862,-3.64376,8.30540
128.68463,-3.75376,7.19540
138.84464,-1.84376,6.76540
142.42863,2.31624,-3.53460
138.06062,1.15624,-3.24460
131.24463,1.73624,-3.86460
128.50864,1.16624,-3.60460
127.54863,0.43624,-3.30460
126.23663,0.67624,-2.62460
123.51663,1.11624,-2.37460
114.15663,0.87624,-3.69460
101.50063,1.90624,-2.92460
95.99663,1.25624,-1.41460
101.96463,-0.77376,-2.68460
107.10063,-2.02376,-0.89460
111.21263,-1.23376,-3.36460
110.18863,-1.03376,-3.10460
111.45263,-2.20376,-1.88460
113.99663,-0.91376,-2.39460
109.56463,-2.15376,-5.59460
107.16463,-1.14376,-7.64460
105.61263,-1.10376,-7.34460
100.94063,-2.50376,-10.09460
96.81263,-2.29376,-12.52460
91.91663,-2.39376,-13.76460
85.69263,-3.19376,-14.24460
82.39663,-2.75376,-12.91460
82.86063,-1.32376,-11.95460
78.76463,-5.94376,2.66540
76.46063,-9.26376,5.57540
78.71663,-9.26376,7.07540
76.71663,-11.93376,8.77540
80.52463,-12.36376,8.91540
90.01263,-10.59376,8.92540
95.29263,-10.33376,9.62540
105.61263,-8.58376,9.05540
115.02063,-6.64376,8.75540
99.77263,-10.76376,8.92540
114.33263,-6.84376,9.11540
122.25263,-4.43376,8.93540
125.93263,-3.32376,7.53540
129.94862,-2.41376,7.11540
129.06863,-4.14376,6.12540
137.35663,-1.74376,5.24540
142.39662,1.07624,-2.56460
138.65263,2.30624,-2.38460
136.22063,1.41624,-2.64460
132.78062,1.20624,-3.13460
129.96463,1.04624,-3.44460
126.92463,1.09624,-3.67460
119.50063,1.81624,-3.04460
117.29263,0.45624,-2.70460
111.82063,2.10624,-3.46460
103.48463,2.50624,-3.43460
100.98863,1.40624,-3.81460
103.16463,0.54624,-3.26460
105.59663,-1.12376,-3.05460
107.96463,-1.08376,-2.75460
107.66063,-0.02376,-2.41460
110.20463,-2.14376,-0.94460
116.46063,-1.80376,-1.29460
112.90863,-1.96376,-3.99460
109.10063,-0.63376,-6.13460
105.58063,-0.17376,-6.36460
103.11663,-1.01376,-8.93460
95.53263,-1.77376,-12.20460
91.99663,-1.15376,-13.75460
95.99663,-1.15376,-11.53460
88.52463,-1.32376,-11.54460
85.70863,0.53624,-13.89460
83.29263,-4.16376,8.34540
83.91663,-6.79376,7.96540
84.52463,-7.06376,7.26540
83.59663,-9.49376,9.52540
92.90863,-7.42376,10.11540
98.17263,-7.36376,10.79540
103.11663,-7.52376,10.49540
111.69263,-6.98376,7.56540
108.86063,-8.06376,7.88540
113.93263,-6.90376,7.69540
122.82863,-3.77376,7.44540
126.87663,-3.02376,7.57540
130.92462,-1.97376,7.39540
128.02863,-2.10376,6.85540
135.03664,-0.20376,7.22540
144.22063,1.35624,-1.24460
142.17262,1.06624,-2.21460
139.96463,1.69624,-2.51460
136.81262,1.42624,-2.90460
132.55663,1.22624,-2.75460
129.90063,1.01624,-2.97460
127.34063,1.06624,-3.44460
124.06063,1.19624,-3.91460
118.79663,1.84624,-3.54460
114.22063,2.06624,-3.59460
106.71663,2.46624,-3.84460
105.37263,2.24624,-4.14460
103.83663,-0.76376,-2.99460
108.49263,0.57624,-2.58460
108.68463,-1.12376,-2.52460
110.47663,-0.21376,-2.99460
111.93263,-0.77376,-3.58460
110.46063,-0.89376,-5.14460
108.14063,-1.92376,-3.65460
109.13263,-1.27376,-5.60460
105.54863,-0.53376,-9.40460
101.00463,-1.60376,-8.60460
104.52463,1.18624,-10.28460
95.48463,0.24624,-12.02460
94.94063,-0.88376,-11.00460
90.92463,-2.22376,-10.43460
87.77263,1.85624,-1.40460
85.48463,-3.18376,10.56540
87.27663,-3.65376,10.83540
89.64463,-4.05376,10.54540
90.89263,-4.40376,10.75540
98.74863,-7.76376,8.28540
104.39663,-6.31376,8.25540
112.04463,-4.61376,7.83540
115.50063,-3.98376,8.62540
115.72463,-4.35376,9.63540
123.70863,-1.99376,9.65540
130.41263,0.31624,9.24540
126.44463,-1.17376,7.94540
