# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777658400
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
101.47166,-0.30559,6.80912
102.65565,-0.00559,6.28912
105.37566,1.31441,5.21912
104.09566,1.35441,4.61912
108.25566,0.78441,3.64912
106.22366,0.26441,3.03912
107.37566,2.32441,1.89912
104.19166,3.56441,2.42912
94.68766,5.92441,1.89912
94.70366,2.66441,1.63912
94.33566,2.63441,1.82912
100.04766,-3.62559,1.28912
105.66366,1.22441,1.97912
106.65565,3.92441,2.03912
106.73566,4.43441,2.42912
106.86366,4.73441,2.32912
107.23166,5.44441,1.80912
106.95966,6.31441,2.91912
106.17566,5.24441,2.47912
106.55966,5.00441,7.32912
108.33566,4.17441,7.58912
111.79166,4.99441,6.70912
114.11166,5.36441,5.74912
115.58366,5.66441,5.28912
115.34366,4.96441,4.84912
117.55166,5.63441,3.78912
118.59166,6.05441,3.35912
119.42366,6.56441,2.77912
120.30366,7.22441,2.43912
120.92766,7.55441,2.66912
121.80766,7.76441,2.40912
122.31966,7.63441,2.31912
121.39165,6.87441,2.35912
121.15166,6.34441,2.12912
122.91166,6.43441,1.64912
124.99166,6.99441,3.08912
125.61566,7.33441,2.94912
125.77566,6.74441,2.40912
126.60766,6.55441,1.86912
126.91166,6.12441,1.86912
127.37566,6.19441,1.39912
101.88766,0.02441,5.39912
101.63166,-0.40559,4.72912
104.22366,0.06441,3.81912
104.97565,0.25441,3.64912
106.41566,1.09441,2.64912
106.76765,1.58441,1.76912
105.67966,2.00441,1.14912
101.99966,5.22441,-0.31088
92.84766,5.22441,0.44912
95.66366,3.47441,0.77912
93.61566,4.19441,0.50912
97.93566,-5.08559,3.57912
103.69566,1.65441,1.60912
105.47166,4.73441,1.21912
104.78366,3.98441,1.73912
103.71165,3.51441,1.33912
103.58366,4.23441,0.99912
103.26366,5.64441,1.93912
103.26366,7.57441,2.04912
102.20766,5.00441,7.57912
105.13566,4.18441,8.08912
108.09566,4.15441,6.79912
111.55166,5.14441,5.75912
113.37566,5.62441,5.13912
113.07166,5.10441,4.75912
113.85566,5.74441,3.77912
115.55166,6.31441,3.21912
116.46366,7.18441,2.94912
117.21566,7.28441,2.86912
118.87966,7.99441,2.46912
120.07966,7.90441,1.84912
120.55966,7.90441,1.39912
119.98366,7.32441,1.64912
119.96766,6.94441,2.19912
121.32766,7.43441,2.04912
122.04766,7.53441,2.33912
122.99166,7.43441,2.79912
123.19966,7.97441,2.94912
123.85566,7.62441,2.02912
124.89566,7.73441,1.61912
124.30366,7.12441,1.94912
99.40766,-0.69559,5.22912
101.34366,-0.06559,4.35912
101.91965,-0.12559,3.27912
103.74366,0.69441,2.36912
103.63166,1.17441,2.35912
103.42366,2.00441,1.79912
102.81566,3.58441,2.09912
97.13566,5.52441,2.10912
90.04766,5.44441,0.96912
92.71966,3.74441,1.23912
92.89566,2.90441,-0.01088
99.35966,-1.90559,-2.35088
103.50365,2.91441,-0.44088
103.91965,5.07441,0.85912
103.47166,5.11441,1.25912
102.09566,4.21441,1.09912
100.54366,3.39441,0.30912
101.11966,4.16441,0.79912
99.80766,3.97441,2.11912
101.69566,2.97441,5.65912
103.11966,2.98441,6.51912
105.98366,3.91441,5.40912
108.91166,5.20441,4.56912
110.35166,5.45441,3.68912
111.39165,5.14441,3.20912
110.17566,4.87441,2.60912
109.72766,4.81441,2.36912
111.74366,5.58441,2.01912
113.67966,6.26441,2.05912
114.25566,6.50441,2.38912
115.77566,6.89441,2.09912
117.51966,7.08441,1.14912
118.41566,7.21441,0.71912
118.36766,7.15441,1.49912
118.99166,7.66441,1.98912
119.88766,8.63441,1.89912
119.58366,7.52441,2.64912
119.99966,7.81441,3.14912
119.96766,8.53441,2.72912
120.97565,8.76441,2.34912
121.64766,8.14441,2.20912
100.67166,-0.37559,2.06912
102.23965,-0.82559,2.29912
101.77566,-1.20559,2.77912
102.70366,-0.95559,1.50912
104.11166,0.81441,0.34912
101.83966,2.65441,0.81912
92.39966,5.44441,1.99912
88.62366,3.67441,-0.08088
89.23166,3.06441,0.03912
92.22366,4.17441,-0.19088
97.80766,-4.29559,-2.62088
102.76765,1.19441,-2.71088
103.69566,5.77441,-0.57088
101.40766,6.18441,1.31912
101.27966,5.56441,2.06912
101.31166,4.29441,1.75912
99.10366,1.68441,0.73912
98.71966,0.56441,1.21912
99.29566,1.18441,2.72912
100.22366,1.18441,4.93912
103.67966,1.89441,4.95912
105.19966,2.92441,3.79912
108.25566,2.97441,2.98912
109.08766,2.10441,2.01912
109.40766,1.71441,1.70912
109.26366,0.62441,1.87912
108.47966,0.09441,2.02912
107.82366,0.43441,2.07912
109.13566,2.29441,1.64912
109.93566,3.95441,1.76912
111.43966,5.06441,1.66912
113.19966,5.50441,1.18912
114.44765,5.57441,0.79912
116.20766,6.26441,0.36912
116.67166,7.01441,1.17912
117.21566,7.53441,2.08912
117.02366,7.71441,2.27912
116.79966,7.84441,2.49912
117.37566,8.66441,2.96912
117.74366,8.77441,3.21912
117.82366,8.74441,3.29912
99.66366,-2.86559,-0.20088
101.10366,2.55441,3.42912
96.14366,2.42441,1.17912
94.92766,-0.23559,4.24912
97.72766,0.97441,3.94912
94.60766,4.98441,2.40912
90.67166,2.31441,-0.40088
89.66366,3.93441,-0.33088
90.89566,2.03441,-1.26088
93.27966,2.26441,-1.47088
99.93566,-1.80559,-3.23088
103.51966,3.82441,-2.65088
100.33566,3.76441,-1.72088
98.60766,4.70441,0.75912
99.50365,5.47441,3.50912
99.66366,0.99441,4.75912
98.47966,-2.60559,3.19912
98.70366,-3.79559,2.27912
100.36766,-3.39559,2.46912
101.13566,-3.10559,2.75912
103.10366,-2.12559,2.80912
105.05566,-0.71559,2.91912
107.23166,-0.22559,2.26912
107.95166,-1.25559,2.64912
109.00766,-1.60559,2.65912
109.29566,-2.03559,2.33912
109.21566,-2.08559,1.85912
108.47966,-2.30559,1.33912
107.72766,-3.05559,0.45912
109.13566,-2.94559,-0.64088
109.90366,-2.66559,-0.83088
111.35966,-1.49559,-0.73088
112.28766,-0.03559,-0.53088
112.59166,1.65441,-0.24088
112.81566,3.25441,0.15912
113.45566,4.62441,0.28912
113.90366,6.32441,0.84912
113.29566,7.14441,1.37912
113.34366,7.95441,1.87912
113.69566,8.83441,2.59912
113.79166,8.84441,3.52912
104.55966,-2.22559,-1.72088
107.03966,-1.36559,-1.77088
103.13566,-1.82559,-2.43088
105.58366,-1.09559,-3.81088
106.39966,-0.04559,-4.05088
105.32766,-0.41559,-4.83088
105.07166,0.17441,-6.02088
101.48766,1.49441,-6.15088
96.09566,2.21441,-5.39088
93.08766,1.04441,-3.83088
101.88766,-0.58559,-3.54088
104.44765,4.74441,-3.16088
100.52766,3.11441,-0.27088
97.82366,1.23441,0.81912
96.95966,-0.82559,5.51912
98.78366,-1.95559,4.93912
99.00766,-2.53559,3.62912
97.80766,-3.59559,3.53912
100.12766,-3.48559,3.09912
101.42366,-3.05559,2.22912
102.49566,-1.65559,1.54912
105.13566,-0.08559,1.88912
106.36766,-1.20559,2.64912
108.59166,-2.92559,3.60912
110.12766,-3.66559,2.84912
110.59166,-3.72559,2.02912
111.19966,-3.63559,0.93912
111.91965,-3.67559,0.20912
111.00766,-3.97559,-0.08088
111.00766,-3.79559,-0.86088
112.17566,-2.98559,-1.50088
112.35166,-2.20559,-1.60088
113.21566,-1.05559,-1.80088
112.62366,-0.17559,-1.66088
112.79966,1.06441,-1.86088
111.63166,1.91441,-2.05088
111.47166,3.84441,-1.74088
111.05566,4.92441,-1.32088
109.98366,6.03441,-0.55088
109.67966,7.82441,1.03912
110.33566,9.10441,2.18912
109.23166,-2.00559,-2.06088
112.54366,-1.40559,-1.38088
106.63966,-2.23559,-1.50088
109.71165,-0.67559,-1.63088
109.11966,1.06441,-0.88088
110.94366,0.91441,-1.59088
105.99966,0.50441,-1.69088
107.93566,1.29441,-1.94088
105.27966,3.13441,-1.22088
103.10366,4.78441,-2.28088
103.67966,3.42441,-3.55088
102.68766,3.82441,-1.93088
100.91166,1.29441,0.94912
98.71966,-0.68559,1.87912
97.15166,-1.77559,3.00912
99.43966,-2.92559,2.84912
100.62366,-3.59559,2.88912
101.87166,-4.65559,2.44912
100.91166,-5.80559,1.89912
100.46366,-6.36559,1.23912
101.77566,-6.15559,0.01912
103.99966,-6.00559,1.54912
107.08766,-4.83559,1.92912
107.59966,-4.84559,1.74912
110.52766,-3.88559,1.55912
112.55966,-3.35559,0.98912
112.71966,-4.02559,0.63912
115.10366,-3.38559,-0.42088
115.31166,-3.28559,-1.19088
112.62366,-3.68559,-1.02088
113.24766,-2.80559,-1.45088
112.89566,-2.40559,-1.87088
113.59966,-1.43559,-2.38088
113.55166,-0.41559,-2.74088
112.99166,0.53441,-2.97088
111.51966,1.39441,-3.08088
109.83966,2.33441,-3.27088
108.73566,3.33441,-3.15088
108.57566,4.70441,-2.42088
107.39165,5.50441,-1.42088
107.05566,6.87441,-0.21088
115.47166,-0.48559,-1.74088
109.55166,-1.49559,-1.77088
111.80766,-0.97559,-1.55088
113.27966,-0.27559,-0.89088
113.51966,0.55441,-1.00088
112.27166,0.65441,-1.13088
107.42366,0.88441,-1.29088
107.03966,2.78441,-1.25088
106.25566,2.86441,-1.42088
105.51966,4.13441,-1.72088
105.50365,4.71441,-0.64088
101.31166,0.22441,0.96912
100.60766,-1.81559,2.44912
99.77566,-3.55559,3.09912
97.82366,-4.16559,3.16912
99.43966,-4.15559,3.71912
99.72766,-5.77559,3.99912
103.35966,-6.69559,2.62912
103.43966,-7.70559,1.59912
103.26366,-8.12559,1.23912
102.97565,-8.32559,1.20912
105.18365,-7.78559,1.38912
107.71165,-7.24559,1.28912
110.14366,-6.84559,0.82912
111.32766,-6.59559,0.39912
113.07166,-6.01559,0.47912
114.19166,-5.77559,0.21912
114.65565,-5.53559,-0.08088
115.02366,-5.40559,-0.97088
116.43166,-4.73559,-1.79088
114.83166,-4.37559,-2.17088
115.99966,-2.90559,-2.56088
113.88766,-3.07559,-3.22088
114.14366,-2.16559,-3.58088
112.35166,-1.21559,-3.49088
111.39165,0.21441,-3.67088
109.66366,1.28441,-3.86088
107.71165,2.34441,-3.82088
106.89566,3.71441,-3.88088
106.17566,5.33441,-3.64088
104.30366,6.37441,-2.40088
119.63166,0.10441,-0.54088
115.37566,-0.04559,-0.45088
116.55966,-0.36559,-0.12088
116.36766,0.71441,0.02912
114.55966,1.09441,0.70912
112.51166,0.74441,-0.19088
107.29566,1.68441,-0.48088
106.03166,2.34441,-0.72088
104.14366,1.69441,-1.31088
104.60766,-0.45559,-1.25088
105.80766,-4.69559,-1.75088
104.47966,-5.12559,-1.22088
102.41566,-4.99559,0.25912
100.94366,-5.03559,1.37912
101.51966,-5.13559,2.07912
100.51166,-5.48559,2.33912
100.47966,-6.26559,2.94912
103.63166,-7.37559,3.26912
103.48766,-8.71559,2.39912
106.55966,-7.87559,1.07912
106.62366,-7.64559,0.56912
107.40766,-7.44559,0.43912
107.39165,-7.55559,0.49912
112.33566,-6.35559,0.00912
113.96766,-5.96559,-0.58088
114.41566,-5.61559,-0.69088
117.03966,-4.98559,-0.29088
114.81566,-5.22559,-0.50088
114.86366,-4.87559,-1.23088
116.49566,-4.01559,-1.84088
117.23166,-3.24559,-2.36088
116.73566,-2.43559,-2.92088
115.42366,-1.96559,-3.25088
113.69566,-1.71559,-3.84088
113.45566,-0.99559,-4.50088
111.40766,-0.39559,-4.81088
109.56766,0.40441,-4.79088
107.45566,1.43441,-4.97088
104.91166,2.40441,-4.99088
104.36766,4.10441,-4.82088
102.54366,5.63441,-3.67088
117.58366,1.56441,0.64912
116.20766,0.11441,-0.27088
118.62366,1.52441,0.11912
116.30366,1.73441,0.25912
112.57566,1.14441,-0.55088
110.86366,1.46441,-0.44088
108.28766,1.12441,-2.03088
105.67966,0.93441,-2.46088
104.97565,-2.45559,0.77912
106.95966,-4.28559,0.90912
107.48766,-4.31559,-1.03088
108.19166,-4.55559,-2.25088
106.87966,-6.51559,-3.54088
105.27966,-5.49559,-0.11088
103.82366,-5.61559,1.16912
