# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777734000
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
104.83478,8.79758,-0.49887
104.62678,10.55758,2.08113
102.21078,9.62758,5.45113
101.55478,8.29758,7.23113
103.26678,7.86758,7.56113
104.11478,7.32758,7.87113
107.74678,6.90758,7.59113
107.68279,7.76758,8.15113
101.95478,8.61758,7.36113
102.85078,8.17758,7.26113
104.03478,7.70758,6.61113
104.86678,6.96758,6.80113
106.19478,6.57758,7.71113
106.75478,6.67758,9.30113
107.81078,6.38758,9.32113
109.53878,5.71758,10.42113
112.46678,5.20758,9.99113
114.32278,4.40758,10.84113
116.35478,4.14758,11.34113
119.73078,4.14758,10.94113
122.97878,4.04758,11.01113
125.84278,4.13758,10.94113
126.62678,3.39758,11.06113
129.58678,3.39758,10.67113
131.95479,3.18758,10.42113
134.17879,3.16758,10.15113
135.77878,3.00758,9.94113
137.28278,2.65758,9.52113
140.17879,2.83758,8.89113
142.41878,2.98758,8.46113
144.21078,3.17758,8.01113
146.03477,3.63758,7.55113
146.96278,3.68758,7.43113
148.38678,2.84758,7.39113
149.77878,2.41758,6.85113
151.02678,2.63758,6.07113
152.65878,2.92758,5.23113
154.05078,3.54758,4.31113
154.27478,3.57758,3.90113
154.46678,3.36758,3.18113
155.55478,3.64758,3.01113
108.14678,1.18758,-7.35887
108.05078,2.97758,-8.27887
101.87478,6.93758,-4.83887
101.61878,11.68758,2.98113
99.49078,10.28758,7.12113
100.93078,8.46758,7.96113
102.61078,7.41758,8.60113
103.42678,10.05758,7.58113
98.17878,8.69758,6.99113
98.77078,8.75758,6.99113
99.81078,8.15758,6.71113
101.63478,7.56758,7.47113
103.17078,7.96758,8.16113
102.99478,8.02758,8.85113
103.69878,8.02758,9.43113
105.20278,6.34758,10.04113
106.62678,5.95758,11.27113
109.74678,5.69758,11.84113
111.04278,5.10758,12.54113
112.89878,4.18758,12.70113
117.26678,4.29758,11.80113
121.84278,4.67758,11.23113
123.84278,4.45758,11.03113
125.17078,4.18758,11.22113
127.61878,4.08758,11.13113
130.40279,4.22758,10.74113
132.78677,4.10758,10.23113
134.61078,3.87758,9.81113
137.10678,4.00758,9.38113
139.97078,4.28758,8.86113
141.33078,4.10758,8.40113
143.87479,4.30758,7.43113
144.75478,3.63758,6.35113
145.73077,2.80758,5.62113
147.15479,2.88758,7.05113
149.44278,3.69758,6.23113
149.77878,3.78758,5.49113
151.58678,4.28758,4.48113
152.59479,4.32758,3.80113
152.06679,3.30758,3.14113
154.03477,3.65758,2.87113
112.17878,-1.67242,-7.91887
109.47478,1.19758,-7.51887
106.77078,0.08758,-6.64887
103.92278,0.12758,-8.72887
100.13078,-0.18242,-10.69887
97.17078,11.92758,3.72113
96.97878,9.68758,8.18113
98.80278,10.09758,8.24113
94.81878,11.05758,6.49113
94.24278,8.28758,6.46113
93.47478,8.38758,6.94113
96.56278,7.48758,7.85113
97.01078,8.61758,9.68113
98.96278,9.34758,9.62113
98.85078,8.92758,9.91113
99.36278,9.34758,10.30113
101.49078,8.49758,11.69113
104.40278,6.73758,12.60113
107.79478,6.25758,12.14113
108.88278,5.19758,12.97113
109.74678,4.39758,13.39113
112.62678,4.29758,13.15113
117.81078,4.79758,11.93113
121.79478,5.07758,11.04113
124.35478,5.08758,10.77113
126.88278,5.28758,10.52113
128.14677,4.99758,10.59113
130.06679,4.85758,10.01113
132.89879,4.94758,9.40113
136.51479,5.24758,8.83113
138.81879,4.81758,8.48113
141.18678,4.26758,7.65113
142.43478,3.82758,6.96113
144.25877,3.30758,6.32113
144.53078,2.93758,6.17113
146.61078,4.02758,5.93113
147.58678,4.08758,5.52113
149.21878,4.28758,4.75113
150.80278,3.95758,3.96113
150.37079,2.64758,3.57113
152.16278,1.41758,2.86113
113.34678,-3.47242,-8.08887
111.20278,-2.11242,-8.79887
109.23478,-1.00242,-7.83887
105.33078,-0.75242,-7.95887
100.85078,0.25758,-9.32887
98.32278,6.01758,-5.92887
95.42678,6.49758,-1.67887
94.38678,9.80758,5.78113
92.01878,9.49758,5.08113
91.20278,7.06758,5.38113
89.57078,7.32758,7.33113
91.55478,7.16758,7.65113
94.48278,9.85758,8.48113
93.74678,9.92758,9.05113
94.03478,9.49758,9.17113
94.77078,9.84758,8.62113
95.90678,7.81758,12.56113
98.25878,6.56758,13.12113
102.24278,6.69758,12.53113
105.53878,6.54758,12.19113
107.53878,5.71758,12.62113
107.82678,5.02758,12.97113
109.02678,4.39758,12.84113
114.59478,5.13758,11.87113
119.74678,5.81758,10.99113
121.93878,5.77758,10.64113
125.58678,6.10758,10.08113
125.79478,5.40758,9.88113
128.56277,5.26758,9.25113
131.87479,5.07758,9.01113
134.41878,4.18758,8.38113
138.05078,3.81758,8.38113
140.19478,3.87758,7.43113
141.12279,3.76758,6.75113
142.21078,3.70758,6.11113
143.33078,3.39758,5.70113
144.86678,2.66758,5.38113
146.70679,2.83758,5.16113
148.72278,1.80758,4.67113
149.92278,-0.87242,4.25113
150.56277,-1.58242,3.53113
115.85878,-2.60242,-7.87887
113.09078,-2.72242,-7.29887
111.01078,-1.24242,-6.72887
108.11478,0.21758,-6.83887
103.07478,-1.16242,-7.05887
102.70678,-0.31242,-5.58887
99.58678,3.19758,-4.66887
97.01078,0.67758,-7.17887
87.55478,8.13758,0.57113
86.61078,7.26758,5.61113
86.45078,7.23758,6.23113
85.63478,6.37758,7.53113
88.70678,8.96758,7.22113
89.65078,10.43758,6.52113
90.91478,10.79758,6.73113
90.24278,9.84758,7.66113
88.89878,7.03758,13.70113
92.25878,6.21758,13.14113
96.80278,6.40758,12.37113
100.54678,6.84758,12.01113
103.95478,6.83758,11.90113
105.52278,6.40758,11.99113
104.70678,5.52758,12.21113
107.55478,5.24758,12.31113
110.53078,5.14758,11.85113
115.93878,5.91758,10.79113
119.55478,6.37758,10.35113
122.67478,6.22758,9.63113
124.69078,5.77758,9.48113
126.77078,4.90758,9.48113
130.00278,3.80758,9.13113
133.68279,3.66758,8.65113
136.08278,3.73758,7.69113
138.83478,3.95758,6.72113
140.38678,3.25758,6.11113
141.18678,2.26758,5.88113
142.35478,0.99758,6.19113
145.39478,-1.03242,6.39113
147.13878,-1.81242,5.75113
149.15479,-1.82242,5.17113
149.25078,-2.25242,4.51113
120.99478,-2.37242,-6.76887
117.98678,-1.93242,-6.46887
113.26678,-1.52242,-5.36887
114.19478,0.44758,-5.99887
104.96278,-1.43242,-4.77887
106.99478,1.57758,-5.56887
102.88278,1.64758,-4.55887
96.08278,1.46758,-4.46887
89.34678,0.10758,-4.90887
91.63478,11.83758,-4.44887
84.46678,5.65758,7.18113
83.25078,6.92758,6.27113
81.84278,7.74758,5.41113
85.34678,11.16758,5.15113
84.19478,11.80758,5.54113
84.62678,10.73758,7.96113
86.53078,10.05758,11.65113
84.78678,5.67758,14.03113
89.31478,5.28758,13.52113
94.41878,6.43758,12.61113
97.79478,7.17758,11.92113
100.09878,6.93758,11.90113
100.05078,5.91758,12.15113
102.35478,5.82758,11.42113
105.18678,5.93758,11.17113
108.35478,6.03758,11.14113
112.64278,6.39758,10.60113
115.77878,6.46758,10.32113
119.65078,6.15758,10.25113
122.46678,5.22758,10.08113
125.23478,3.98758,9.81113
128.99478,3.70758,9.26113
132.05078,3.56758,8.68113
134.77078,3.36758,7.81113
137.93878,2.28758,7.56113
139.66678,-0.18242,8.19113
140.27478,-2.31242,7.57113
143.79478,-2.08242,7.03113
146.22678,-2.17242,6.28113
148.17879,-2.23242,5.55113
148.25877,-2.99242,4.83113
121.81078,-1.86242,-6.15887
120.41878,-1.44242,-5.07887
116.21078,-1.55242,-6.45887
114.08278,-1.62242,-6.01887
111.23478,0.37758,-5.70887
110.57878,0.57758,-4.57887
103.92278,0.37758,-4.93887
106.29078,3.10758,-3.69887
88.37078,-0.28242,-3.58887
90.09878,2.48758,-2.81887
72.94678,0.05758,-3.73887
83.25078,4.13758,-0.55887
82.96278,5.54758,2.51113
79.57078,6.81758,2.95113
77.34678,9.45758,3.88113
77.89078,11.27758,9.18113
81.93878,11.30758,10.74113
84.38678,8.27758,13.10113
83.15478,5.03758,12.82113
87.76278,6.25758,12.34113
91.26678,6.95758,12.47113
94.73878,7.21758,11.29113
95.58678,6.82758,12.18113
94.29078,5.80758,12.69113
99.01078,6.19758,11.34113
102.09878,6.23758,11.32113
104.37078,6.11758,11.07113
109.34678,6.74758,10.82113
113.25078,5.92758,11.00113
116.32278,4.80758,11.29113
120.03478,3.60758,10.60113
124.56278,2.85758,9.92113
129.10678,2.81758,9.25113
130.80278,0.71758,10.34113
134.33878,-0.59242,10.13113
137.33078,-2.00242,9.14113
139.28278,-2.70242,8.18113
141.92278,-2.85242,7.51113
146.03477,-2.75242,6.51113
148.21078,-3.07242,5.70113
148.73878,-3.95242,4.76113
124.61078,-0.29242,-4.23887
120.03478,-1.34242,-3.91887
121.05878,-0.70242,-3.02887
118.61078,-1.30242,-3.04887
117.52278,0.79758,-4.30887
108.75478,-0.27242,-4.00887
106.69078,0.88758,-5.98887
102.91478,0.89758,-6.01887
96.61078,0.76758,-5.48887
89.81078,0.51758,-6.29887
79.53878,0.07758,-9.14887
81.58678,2.07758,-5.99887
80.11478,6.18758,-2.63887
80.01878,6.01758,-0.81887
77.95478,4.20758,-0.54887
71.66678,5.53758,1.65113
