# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777690800
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
91.46244,-0.26552,6.41193
91.60644,-0.58552,7.12193
95.17444,-0.28552,6.32193
98.66244,0.28448,5.40193
99.63844,0.85448,5.28193
99.35044,1.52448,5.03193
99.28644,2.33448,3.57193
98.98244,3.57448,1.66193
99.03044,3.62448,-0.18807
101.09444,1.28448,-1.14807
99.30244,4.32448,-0.55807
98.80643,2.07448,7.31193
98.75844,-1.98552,10.88193
101.92644,-2.69552,9.12193
105.22243,-1.35552,7.93193
108.07043,-1.05552,7.02193
111.15844,-0.21552,6.18193
112.48643,0.01448,5.53193
115.11044,1.17448,4.76193
117.59044,2.72448,4.09193
118.37444,3.35448,4.47193
118.96644,4.05448,4.96193
121.01443,4.37448,7.01193
122.82244,3.51448,6.93193
124.15044,3.01448,6.43193
126.03844,2.40448,5.99193
127.55844,2.58448,5.33193
130.26244,3.52448,4.69193
130.82243,3.26448,4.76193
131.65443,3.15448,3.86193
133.23843,3.66448,3.04193
132.45444,3.48448,2.84193
133.87843,4.18447,2.60193
134.88644,4.14447,2.14193
136.02243,3.38447,1.47193
136.80644,3.22448,1.67193
136.74243,3.17448,2.07193
137.43044,4.07448,1.77193
138.67844,4.79448,0.80193
138.51843,5.11448,0.37193
139.01443,5.08448,0.60193
91.51044,1.07448,6.50193
91.89444,0.72448,6.52193
92.27843,0.25448,6.97193
92.90244,-0.23552,6.70193
97.95844,1.21448,4.71193
100.72644,2.72448,3.05193
98.99844,3.69448,2.42193
97.35044,3.70448,1.19193
98.24644,2.69448,-1.47807
99.41444,2.30448,-3.50807
94.23044,4.68447,-1.23807
93.76643,1.09448,9.74193
96.80643,-2.83552,8.76193
99.12643,-2.62552,7.44193
103.63844,-1.53552,6.86193
105.79844,-0.62552,6.84193
108.91843,0.47448,6.13193
112.23044,1.67448,4.86193
112.51844,2.07448,4.46193
115.19044,3.21448,3.81193
116.26244,4.13448,3.30193
116.95044,4.34448,3.72193
117.78244,4.90448,6.25193
119.63844,4.36448,6.97193
122.23044,4.07448,6.71193
122.90244,2.89447,6.28193
125.25444,3.00448,5.39193
127.54243,3.43448,4.29193
128.64644,3.28448,3.75193
129.27043,3.44448,3.46193
129.84644,3.98448,2.93193
130.90244,4.44448,2.78193
131.81444,5.08448,2.44193
132.83844,4.71448,2.68193
133.09444,3.84448,2.68193
134.66245,3.84448,2.15193
135.25444,4.06448,1.59193
135.57443,4.69448,1.13193
135.75044,5.10448,0.89193
135.52644,5.36448,0.57193
135.39844,5.54448,0.29193
91.33443,2.33448,6.40193
92.16644,1.63448,6.29193
91.89444,0.92448,6.52193
92.00644,0.54448,5.93193
95.27044,1.60448,5.40193
96.51844,2.01448,4.24193
100.51844,4.24447,1.08193
99.01443,2.76448,-0.99807
97.55844,2.70448,-1.87807
96.80643,-0.04552,-1.91807
94.74244,-3.52552,0.92193
96.16644,-4.47552,3.72193
99.03044,-2.21552,4.75193
100.74244,-1.14552,5.20193
102.91843,-0.53552,5.54193
104.85444,0.26448,5.48193
105.75043,0.40448,5.30193
108.10244,1.20448,4.87193
110.00644,2.16448,3.72193
111.68644,3.27448,2.44193
112.98244,4.35448,2.43193
113.78244,4.89447,4.08193
114.87044,5.21448,5.23193
116.96644,4.96448,6.88193
118.87044,4.46448,7.15193
120.18243,3.43448,6.37193
122.23044,3.68448,5.31193
124.43844,3.36448,4.20193
126.21444,3.63447,3.21193
126.61444,3.79448,2.27193
126.87044,4.10448,1.87193
129.46243,5.24447,1.73193
129.67044,5.10448,1.82193
130.26244,5.21448,2.48193
131.28644,4.19448,2.25193
131.84644,3.13447,1.43193
132.85443,3.59448,1.05193
133.19044,4.32448,0.91193
134.32643,5.17448,0.74193
133.47844,5.64447,0.28193
133.62244,6.00448,-0.15807
95.07844,4.29448,3.06193
93.33443,2.07448,3.54193
95.39844,2.37448,1.58193
90.93444,1.03448,5.35193
92.35844,0.41448,4.23193
97.49444,1.83448,2.26193
99.43044,0.68448,-1.48807
101.35044,2.78448,-2.23807
94.51844,-3.10553,-0.48807
98.82244,-3.75552,-0.53807
98.03844,-5.40552,-0.61807
98.43844,-4.30552,1.00193
100.56644,-1.76552,1.43193
100.71043,-0.56552,1.96193
102.96644,0.58448,2.70193
103.76643,1.32448,3.50193
104.48643,1.49448,3.70193
104.90244,2.32448,3.55193
105.63844,2.86448,3.41193
106.48643,3.47448,3.09193
108.64644,5.31448,2.16193
109.99044,5.77448,3.40193
110.58244,5.82448,5.56193
113.57444,5.29448,7.44193
116.80643,3.75448,7.19193
118.23044,3.18448,5.99193
120.29444,3.27448,4.30193
122.00644,3.34448,2.97193
124.34244,3.63447,1.41193
124.95044,1.90448,0.10193
125.27044,1.23448,0.09193
126.43844,1.94448,0.16193
127.22243,2.19448,0.30193
129.12643,1.68448,0.19193
129.43044,1.04448,0.18193
130.59843,0.99448,-0.58807
132.10243,1.15448,-1.21807
132.50244,1.58448,-1.46807
133.01443,2.65448,-1.70807
132.80644,3.84448,-1.21807
132.15044,4.78448,-0.66807
98.55044,-3.78552,-4.34807
97.67044,-5.16552,-2.57807
99.63844,-2.38552,-4.12807
98.75844,-1.38552,-4.23807
91.75043,-4.99552,-2.14807
98.99844,-2.82552,-2.04807
97.11044,-2.66552,-2.43807
101.52644,-0.95552,-2.81807
98.95044,-3.01552,-0.63807
99.51044,-3.33552,-0.14807
100.08644,-2.80552,-0.31807
100.24644,-2.11553,-0.57807
101.25444,-0.77552,-0.39807
101.14244,0.41448,0.38193
102.45444,1.77448,1.83193
101.79844,2.10448,2.81193
100.72644,2.60448,3.39193
101.59044,3.44448,3.93193
101.94244,3.11448,3.72193
102.77444,4.06448,2.83193
102.63044,4.33448,2.52193
106.40644,6.02448,2.96193
106.61444,4.89447,4.84193
110.03844,3.24448,7.90193
113.87844,2.41448,7.31193
116.79044,2.32448,5.02193
119.12643,2.53448,2.53193
121.49444,-1.85552,2.98193
123.22243,-4.78552,1.89193
124.79044,-5.30552,0.65193
126.27843,-5.13552,-0.20807
126.80643,-5.10553,-0.64807
128.77444,-4.57552,-1.04807
129.63844,-4.00553,-1.22807
130.77444,-3.30552,-1.22807
130.56644,-3.11553,-1.39807
131.81444,-2.22552,-2.10807
132.10243,-1.71552,-2.82807
132.93443,-0.80552,-3.02807
133.36644,0.18448,-3.54807
132.79044,0.79448,-3.96807
113.15844,0.90448,-7.43807
101.52644,-3.34552,-4.14807
100.11844,-3.51552,-3.71807
103.09444,-1.35552,-4.36807
98.96644,-2.27552,-4.06807
97.99044,-3.92552,-3.85807
103.99044,-0.84552,-4.12807
101.11044,-2.10553,-2.67807
100.72644,-2.19552,-3.48807
102.05444,-3.68552,-2.51807
102.35844,-1.71552,-2.70807
100.10244,-0.52552,-2.14807
101.07844,1.67448,-1.47807
100.69444,2.41448,-1.26807
100.64644,2.61448,-0.45807
99.41444,2.92448,0.89193
96.98244,3.26448,1.34193
98.16644,4.10448,3.36193
97.70244,3.02448,4.38193
99.41444,3.77448,3.72193
99.23843,3.72448,3.77193
103.17444,3.94448,4.21193
104.45444,1.98448,6.08193
108.00644,1.56448,6.96193
112.48643,0.11448,5.20193
114.29444,-4.62552,5.38193
118.05444,-6.64552,4.11193
121.41444,-6.55552,2.23193
125.25444,-5.63552,1.36193
126.79044,-5.51552,0.79193
127.87844,-5.63552,-0.02807
128.55043,-5.36552,-0.75807
131.15843,-4.47552,-0.94807
131.20644,-4.24552,-0.90807
130.80644,-4.08553,-1.29807
132.15044,-3.28552,-2.08807
131.44644,-3.15552,-2.52807
131.36644,-2.73552,-3.10807
132.21443,-1.76552,-3.65807
131.62244,-1.12552,-3.85807
132.10243,-0.18552,-4.21807
117.76643,-0.52552,-6.11807
102.16644,-1.52552,-7.32807
105.81444,-3.29552,-4.72807
106.00644,-2.89552,-4.23807
101.60644,-2.17552,-3.76807
103.03044,-2.66552,-4.62807
104.51844,-1.06552,-3.78807
107.27044,0.73448,-2.57807
101.39844,-1.54552,-1.52807
102.31044,-0.95552,-2.45807
101.11044,-1.19552,-2.92807
101.97443,0.14448,-1.76807
100.83844,1.11448,-1.40807
99.06244,2.13447,-1.57807
98.55044,3.61448,-1.09807
95.78244,3.79448,-1.65807
94.15044,3.91448,-0.31807
94.80643,3.91448,2.13193
96.80643,2.26448,5.64193
97.33443,0.83448,4.84193
98.40644,0.11448,4.23193
101.20644,-0.60552,4.43193
103.36644,-2.73552,5.18193
107.38244,-5.07552,5.52193
112.93444,-7.26552,5.59193
114.87044,-7.76552,4.67193
118.48643,-6.85553,4.28193
121.86243,-6.23553,3.77193
124.77444,-6.22552,2.91193
127.76643,-6.50553,1.64193
129.22244,-6.54553,0.44193
131.04643,-6.02553,-0.50807
132.72644,-5.34552,-1.33807
133.55844,-4.70552,-1.62807
133.60643,-4.33553,-2.08807
132.63043,-4.03552,-2.05807
132.83844,-3.43552,-2.53807
132.03844,-2.95552,-3.11807
132.43843,-2.07552,-3.90807
132.59843,-1.28552,-4.43807
132.40643,-0.50552,-4.85807
105.04644,-2.33552,-2.53807
109.14244,-1.27552,-3.86807
109.92644,-0.56552,-4.15807
106.39043,-1.86552,-4.88807
106.02244,-1.91552,-3.65807
105.47844,-1.31552,-2.76807
104.42244,0.23448,-4.06807
102.91843,1.27448,-4.05807
99.86243,-0.34552,-3.07807
98.43844,-2.45552,-2.51807
100.90244,-3.14552,-4.56807
99.25444,-2.44552,-3.04807
99.01443,-1.13552,-2.07807
97.44643,-0.85552,-2.49807
95.94244,-0.35552,-2.73807
94.66244,0.17448,-2.57807
94.79044,1.48448,-2.89807
95.83044,3.76448,-0.59807
95.38244,3.14447,4.69193
95.78244,0.40448,6.31193
98.00644,-1.34552,4.80193
100.43844,-3.18552,4.34193
104.07043,-6.02553,5.64193
108.96644,-7.33553,6.18193
112.55044,-8.28553,5.34193
116.58244,-7.48553,4.48193
119.79844,-7.27553,3.79193
123.71844,-6.95552,2.95193
126.45444,-6.78552,1.98193
128.61444,-6.70552,1.26193
130.75844,-6.20552,0.64193
131.28644,-6.11552,0.12193
133.17444,-5.43552,-0.81807
134.18243,-4.99552,-1.82807
135.70244,-4.41552,-2.87807
134.99844,-4.05552,-3.60807
134.27844,-3.50552,-3.96807
134.24644,-2.87552,-4.47807
133.01443,-2.47552,-4.48807
132.43843,-1.89552,-5.03807
131.65443,-1.12552,-5.42807
117.27044,-1.56552,-2.07807
118.74244,0.17448,-1.11807
111.25444,-0.63552,-2.08807
112.53444,0.31448,-2.87807
107.52644,-0.82552,-2.48807
106.02244,-0.99552,-2.85807
109.12643,1.88448,-2.12807
100.16644,-0.62552,-3.56807
98.85444,-2.35553,-4.37807
100.10244,-2.15552,-3.66807
101.17444,-2.81552,-3.41807
102.82244,-4.23553,-3.57807
100.45444,-5.08553,-2.18807
98.48643,-6.11552,-2.38807
96.79044,-7.68552,-3.00807
96.45444,-8.43552,-2.44807
98.95044,-10.67552,-3.45807
100.85444,-10.61553,-5.71807
96.98244,-6.68552,-5.94807
94.55044,-2.44552,5.00193
98.26244,-6.88552,5.49193
101.07844,-7.63552,4.57193
103.54243,-8.66552,5.48193
109.54243,-8.65553,5.25193
113.46244,-8.58552,4.88193
117.59044,-7.97552,4.31193
121.23843,-7.60553,3.47193
124.59843,-7.23553,2.75193
127.14244,-6.74552,2.33193
130.00644,-6.58553,1.90193
132.23044,-6.40552,1.07193
133.35043,-6.16552,-0.01807
134.37444,-5.84552,-0.95807
135.67044,-5.22552,-1.93807
135.83044,-4.86552,-2.60807
136.35844,-4.11552,-3.52807
135.75044,-3.44552,-4.37807
134.29443,-2.87552,-4.89807
134.43843,-2.00552,-5.60807
133.67044,-1.27552,-6.03807
131.28644,-0.87552,-6.18807
123.47844,1.68448,-0.08807
115.39844,1.02448,0.11193
115.65443,0.30448,0.04193
115.55844,0.79448,-0.50807
111.92644,0.94448,-0.48807
105.71844,-0.45552,-0.81807
105.73444,0.33448,-2.39807
105.49444,-0.32552,-1.58807
106.34244,-1.41552,-1.35807
107.31844,-1.24552,-1.86807
104.48643,-2.24552,-1.80807
103.97443,-2.70552,-2.63807
104.18243,-2.96552,-3.32807
98.99844,-5.52553,-0.23807
96.07043,-8.51552,-1.20807
103.23843,-6.93552,-2.58807
103.01443,-6.82552,-0.36807
101.91044,-8.29552,-0.16807
104.51844,-8.04552,-0.38807
103.41444,-7.91552,-1.47807
100.24644,-10.83552,-0.07807
106.08644,-9.20552,-0.11807
105.94244,-10.12552,1.93193
110.66244,-9.80552,3.19193
115.09444,-9.29552,2.87193
119.55844,-8.52553,2.66193
123.12643,-7.89552,2.23193
127.60644,-6.87552,2.24193
130.61444,-6.39552,2.01193
132.50244,-6.48553,1.55193
133.41444,-6.55552,0.87193
134.02243,-6.37552,-0.10807
135.41444,-5.93552,-0.97807
136.72644,-5.16552,-1.85807
136.51843,-4.68552,-2.70807
136.39044,-4.02553,-3.64807
136.58244,-3.08552,-4.50807
136.21443,-2.27552,-5.21807
133.99043,-1.91552,-5.89807
134.07043,-0.90552,-6.50807
133.04643,-0.02552,-6.93807
120.50243,1.81448,1.56193
113.23843,0.37448,1.48193
111.27044,1.11448,1.52193
109.20644,0.62448,1.56193
106.26244,0.63448,1.76193
104.99844,-0.20552,0.78193
109.95844,1.34448,0.47193
109.51044,1.53448,1.30193
105.52644,-1.23552,1.56193
107.41444,-1.07552,0.47193
104.43844,-1.76552,-1.08807
104.10244,-2.70552,-1.43807
105.51044,-1.54552,-2.30807
100.58244,-3.90552,-2.35807
101.17444,-6.16552,1.52193
104.88644,-6.88552,2.92193
106.23044,-6.58553,1.30193
104.15044,-7.21552,-0.16807
106.99844,-6.91552,1.25193
105.30244,-8.49553,3.27193
106.16644,-9.44553,2.51193
108.90244,-9.02553,2.50193
110.63044,-9.37552,2.96193
112.98244,-9.53553,2.43193
116.69444,-9.25552,2.57193
122.72644,-8.11553,2.38193
125.57444,-7.71552,2.64193
130.08644,-6.51552,2.11193
133.51044,-5.90552,1.69193
134.13443,-6.20552,1.20193
133.62244,-6.32552,0.60193
135.76643,-5.46552,-0.35807
136.31044,-5.00553,-0.94807
137.62244,-4.23553,-1.90807
136.91844,-3.87552,-3.00807
137.73444,-3.07552,-3.76807
137.22244,-2.51552,-4.49807
135.95844,-1.99552,-5.36807
135.04643,-1.35552,-6.29807
134.23044,-0.62552,-6.94807
132.71043,0.20448,-7.40807
110.58244,0.73448,0.32193
105.09444,0.61448,-1.35807
105.51044,0.07448,-1.12807
106.51844,1.41448,-0.46807
104.08644,0.51448,-0.09807
103.31844,0.72448,1.16193
105.79844,0.99448,1.46193
106.05444,1.06448,2.36193
104.31044,-0.73552,1.54193
103.84644,-1.23552,0.85193
103.70244,-1.03552,0.43193
103.67044,-2.21552,0.30193
106.26244,-2.16552,-0.47807
105.35044,-3.18552,-0.67807
104.23044,-4.47552,-0.68807
104.58244,-4.17552,3.11193
105.38244,-6.00553,4.20193
106.37444,-6.71552,4.46193
109.28644,-5.60553,3.72193
108.58244,-6.13552,3.14193
109.83044,-6.49552,4.28193
109.33443,-7.94552,4.95193
115.52644,-6.04553,4.75193
110.39043,-9.07553,5.62193
115.52644,-8.66552,4.73193
123.55844,-6.74552,3.96193
128.02243,-5.93552,3.59193
130.98244,-5.63552,3.43193
133.95844,-5.11552,2.63193
134.40643,-5.24552,1.46193
135.36644,-4.98553,0.50193
136.50244,-4.39552,-0.09807
136.74243,-3.73552,-1.00807
137.68643,-3.09552,-1.79807
137.52644,-2.60553,-2.63807
137.63844,-1.99552,-3.49807
137.03044,-1.74552,-4.56807
136.42244,-1.35552,-5.51807
134.88644,-1.07552,-6.42807
134.32643,-0.25552,-7.29807
132.50244,0.51448,-7.89807
112.23044,0.73448,-2.57807
106.56644,-0.68552,-1.49807
106.05444,0.08448,-2.05807
105.17444,0.44448,-2.11807
104.77444,0.06448,-1.64807
104.51844,1.48448,0.76193
105.31844,1.06448,1.17193
104.63044,-0.29552,0.97193
104.98244,-0.57552,0.93193
105.14244,-0.28552,1.30193
105.36644,-0.20552,0.77193
104.55044,-0.74552,0.11193
107.52644,-0.89552,1.04193
107.43044,-2.15552,1.25193
108.10244,-3.53552,-0.74807
105.62244,-4.29553,-1.17807
108.16644,-3.58552,0.10193
108.90244,-3.24552,2.00193
108.03844,-3.06552,3.74193
110.05444,-2.74552,4.85193
110.51844,-3.93552,5.83193
112.91843,-4.40552,5.87193
113.38244,-5.75553,5.52193
114.83844,-6.87552,5.37193
118.26244,-6.32552,5.51193
122.85444,-5.61552,6.20193
126.13444,-5.12552,5.88193
130.11844,-4.33553,4.48193
131.78244,-4.36552,2.84193
133.92644,-4.04553,2.11193
135.55844,-3.50552,1.17193
135.70244,-3.15552,0.10193
